symbol,shares_outstanding
JMFINANCIL,956959936
JNKINDIA,55953915
JNPR,568998442
JOCIL,8881150
JPOLYINVST,10511929
JPPOWER,6853458827
JSFB,105822096
JSL,823949824
JSLL,124300730
JSWCEMENT,1350345020
JSWDULUX,45540314
JSWENERGY,1832372944
JSWHL,11098438
JSWINFRA,2315161753
JSWSTEEL,2440978228
JTEKTINDIA,277396890
JTLIND,393081630
JUBLCPL,15152493
JUBLFOOD,657674557
JUBLINGREA,157716549
JUBLPHARMA,158387168
JUNIPER,222502384
JUSTDIAL,85049032
JWL,427370389
JYOTHYLAB,367214511
JYOTICNC,227423096
JYOTIRES,12000000
JYOTISTRUC,1193659937
KABRAEXTRU,34972836
KAJARIACER,157143050
KAKATCEM,7773858
KALAMANDIR,147349967
KALPATARU,205926918
KALYANKJIL,1032750972
KAMANWALA,14093160
KAMATHOTEL,29480072
KAMOPAINTS,329000000
KANANIIND,197868000
KANCHI,4343891
KANPRPLA,24478958
KANSAINER,808778779
KAPSTON,30432184
KARMAENG,11569918
KARURVYSYA,966667248
KAYNES,67222491
KCP,128921160
KDDL,12299280
KDGREEN,101510500
KEC,266200000
KECL,66414071
KEEPLEARN,155712083
KEI,95600595
KELLTONTEC,527804670
KENNAMET,21978240
KERNEX,16803622
KEYFINSERV,5566637
KFINTECH,172872079
KHAICHEM,96989200
KHAITANLTD,5020918
KHANDSE,15253805
KICL,4365306
KIMS,407841117
KINGFA,13551381
KIOCL,607751097
KIRIINDUS,65168000
KIRLFER,165151254
KIRLOSBROS,79408926
KIRLOSENG,145519854
KIRLOSIND,165151254
KIRLPNU,129926380
KISSHT,177269272
KITEX,199500000
KJMCFIN,4785740
KKCL,61625185
KMCSHIL,163085000
KMEW,25364317
KMSUGAR,92000170
KNACK,122365164
KNAGRI,24998910
KNRCON,281234600
KOHINOOR,37071530
KOKUYOCMLN,100303806
KOLTEPATIL,88680094
KOPRAN,48326105
KOTAKBANK,9947881278
KOTHARIPET,58846400
KOTHARIPRO,59687730
KOTIC,108021773
KOVAI,10942262
KPEL,67798099
KPIGREEN,197671968
KPIL,170772546
KPITTECH,272227219
KPRMILL,342522549
KRBL,228889892
KREBSBIO,21560586
KRIDHANINF,111579205
KRISHANA,309138000
KRISHIVAL,25628301
KRISHNADEF,14933388
KRITI,52696000
KRITIKA,266280000
KRITINUT,50103520
KRN,65458486
KROSS,64509422
KRSNAA,32438672
KRYSTAL,13971952
KSB,174039220
KSCL,51040869
KSE,32000000
KSHINTL,67755700
KSHITIJPOL,154244874
KSL,43759380
KSOLVES,23720400
KTKBANK,378181464
KUANTUM,87263630
KWIL,2349591263
LAGNAM,17669000
LAHOTIOV,29171500
LAL,172736551
LALITHAA,559709811
LALPATHLAB,166977774
LAMBODHARA,10377600
LANCER,371782236
LANDMARK,41464910
LANDSMILL,1410695055
LAOPALA,111000000
LASERPOWER,140368342
LATENTVIEW,207083230
LATTEYS,57495825
LAURUSLABS,540312218
LAXMICOT,17147670
LAXMIDENTL,55037331
LAXMIINDIA,52393078
LCCINFOTEC,168593350
LCCPROJECT,289671232
LCL,105650000
LEAPIND,440536458
LEMERITE,125168000
LEMONTREE,791847623
LENSKART,1731440176
LEXUS,20190724
LFIC,3000000
LGBBROSLTD,31896872
LGEINDIA,678772392
LGHL,50092560
LIBAS,26344580
LIBERTSHOE,17040000
LICHSGFIN,550063000
LICI,12649995402
LIKHITHA,39472710
LINC,59505603
LINCOLN,20029728
LINDEINDIA,85284223
LLOYDSENGG,1549557859
LLOYDSENT,1526551945
LLOYDSME,562731642
LMW,10683000
LODHA,999223237
LOKESHMACH,21796770
LORDSCHLO,28653861
LOTUSCHO,12841049
LOTUSEYE,21257465
LOVABLE,14800000
LOYALTEX,4816446
LPDC,134143160
LT,1375866086
LTF,2506352570
LTFOODS,347252944
LTM,296461217
LTTS,106086268
LUMAXIND,9347732
LUMAXTECH,68157705
LUPIN,457289972
LUXIND,30071681
LXCHEM,277914693
M&M,1200762264
M&MFIN,1389624195
MAANALU,59984864
MACPOWER,10004160
MADHAV,8947000
MADHAVIPL,269581560
MADRASFERT,161101300
MAFATIND,72178930
MAGADSUGAR,14091630
MAGNUM,68411317
MAHABANK,7691554950
MAHAPEXLTD,28183792
MAHEPC,28077040
MAHESHWARI,29043987
MAHLIFE,213584349
MAHLOG,99277402
MAHSCOOTER,11428568
MAHSEAMLES,133999252
MAITHANALL,29111550
MAKERSL,5900376
MALLCOM,6240000
MALUPAPER,17474505
MAMATA,24607800
MANAKALUCO,65534050
MANAKCOAT,106634050
MANAKSIA,65534050
MANALIPETC,171999229
MANAPPURAM,939336102
MANBA,50239410
MANCREDIT,21113986
MANGALAM,15828248
MANGLMCEM,27497298
MANINDS,75009571
MANINFRA,397773215
MANIPALHOS,1315377202
MANKIND,413045090
MANOMAY,18048735
MANORAMA,63122390
MANORG,8564440
MANUGRAPH,31337300
MANYAVAR,242977245
MAPMYINDIA,54761056
MARALOVER,41508000
MARATHON,67444551
MARICO,1297977056
MARINE,139944410
MARKOLINES,22040920
MARKSANS,453163746
MARSONS,172100000
MARUTI,314402574
MASFIN,181453377
MASKINVEST,3051500
MASTEK,31006376
MASTERTR,123016000
MATRIMONY,20673393
MAWANASUG,39116864
MAXESTATES,163579866
MAXHEALTH,973310251
MAXIND,56202456
MAYURUNIQ,43452600
MAZDOCK,403380000
MBAPL,438134700
MBEL,57160718
MBLINFRA,155879256
MCL,27142800
MCLEODRUSS,104455735
MCLOUD,589067120
MCX,254514090
MEDANTA,268718832
MEDIASSIST,74701842
MEDICO,82984000
MEDPLUS,120087613
MEESHO,4627292177
MEGASTAR,11293700
MEIL,27630124
MERCURYEV,189973058
METROBRAND,272592741
METROGLOBL,12334375
METROPOLIS,207453880
MFML,10620275
MFSL,343298749
MGEL,329555600
MGL,98777779
MHRIL,201676778
MIDHANI,187340000
MIDWESTLTD,36160816
MIIL,21723750
MILKYMIST,769843411
MINDACORP,235360911
MINDTECK,31954221
MIRZAINT,138201900
MITCON,17418418
MITTAL,443900775
MKEXIM,40367250
MKPL,377227216
MMFL,48281600
MMP,25402613
MMTC,1500000000
MMWL,1132742219
MOBIKWIK,78746917
MODINATUR,13306397
MODIRUBBER,25040532
MODIS,19591200
MODTHREAD,34775160
MOHITE,200997000
MOHITIND,14157575
MOIL,203485211
MOKSH,83748968
MOL,254314211
MOLBIO,115239996
MOLDTKPAC,33228914
MONARCH,79308338
MONEYBOXX,69809200
MONTECARLO,20732064
MOREPENLAB,547953699
MOSCHIP,194985955
MOTHERSON,10531231231
MOTILALOFS,602977213
MOTISONS,1137506600
MOTOGENFIN,39017730
MPHASIS,190817050
MPSLTD,16975533
MRF,4241143
MRPL,1752598777
MSL,10980158
MSPL,566796645
MSTCLTD,70400000
MSUMI,6631661898
MTNL,630000000
MUFIN,198162188
MUFTI,65394103
MUKANDLTD,144495563
MUKESHB,6970900
MUNJALAU,100000000
MUNJALSHOW,39995000
MURUDCERA,60545260
MUTHOOTCAP,16447533
MUTHOOTFIN,401468476
MUTHOOTMF,167766677
MVELECTRO,27282728
MVGJL,48847441
MWL,297006740
NACLIND,234243330
NAGREEKCAP,12615300
NAGREEKEXP,31249250
NAHARCAP,16746167
NAHARINDUS,43205581
NAHARPOLY,24587991
NAHARSPING,36065303
NAM-INDIA,640041982
NARMADA,75872798
NATCOPHARM,182380000
NATHBIOGEN,19030423
NATIONALUM,1836631787
NATIONSTD,20000000
NAUKRI,647737579
NAVA,283312597
NAVINFLUOR,51308114
NAVKARCORP,150519181
NAVNETEDUL,221213181
NAZARA,384696024
NBCC,2700000000
NBIFIN,2954850
NCC,627846588
NCLIND,45232790
NDGL,1000000
NDL,1441471680
NDLVENTURE,33671621
NDRAUTO,23855240
NDTV,112824717
NECLIFE,194260970
NELCAST,87243660
NELCO,22818400
NEOGEN,30042427
NEPHROPLUS,100559014
NESCO,70459960
NESTLEIND,1928314320
NETWEB,59447551
NETWORK18,1544487688
NEULANDLAB,12829889
NEWGEN,141351724
NEXTMEDIA,66892908
NFL,490578400
NGIL,17538052
NGLFINE,6178024
NH,203099835
NHPC,10045034805
NIACL,1648000000
NIBE,15501773
NIBL,24230650
NICCOPAR,46800000
NIITLTD,136993744
NIITMTS,137814443
NILAINFRA,393889200
NILASPACES,393889200
NILE,3001900
NILKAMAL,14972296
NIMBSPROJ,19318735
NINSYS,18576000
NIPPOBATRY,7500000
NIRAJ,59694340
NIRLON,90118040
NITCO,252576105
NITINSPIN,56220000
NITIRAJ,10251000
NITTAGELA,9079160
NIVABUPA,1849644703
NLCINDIA,1386636609
NMDC,8791817550
NOCIL,167024930
NOIDATOLL,186195002
NORBTEAEXP,15544100
NORTHARC,161796509
NOVAAGRI,90019813
NOVARTIND,24690797
NPST,20863500
NRAIL,17019100
NRBBEARING,96922600
NSIL,5136163
NSLNISP,2930605850
NTPC,9696666134
NTPCGREEN,8426329669
NUCLEUS,26325306
NUVAMA,184515689
NUVOCO,357156153
NYKAA,2865270707
OAL,33653576
OBCL,21082790
OBEROIRLTY,363602237
ODIGMA,31258450
ODYCORP,89498486
OFSS,87083127
OIL,1626607791
OLAELEC,4418680703
OLECTRA,82080737
OMAXAUTO,21441202
OMAXE,183654284
OMINFRAL,96303809
OMNI,123666020
ONEGLOBAL,20249071
ONEPOINT,262936776
ONESOURCE,114672891
ONGC,12580279206
ONIDA,369527844
ONIXSOLAR,36867926
ONWARDTEC,21939711
OPTIEMUS,90166450
OPTIFIN,74723000
ORCHASP,346425366
ORCHPHARMA,50719105
ORICONENT,157989688
ORIENTALTL,73507265
ORIENTBELL,14710476
ORIENTCEM,205459873
ORIENTCER,119639200
ORIENTELEC,213390128
ORIENTHOT,178599180
ORIENTPPR,212185502
ORIENTTECH,45805916
ORIRAIL,67059000
ORISSAMINE,6000000
ORKLAINDIA,136989231
ORTINGLOBE,8131392
OSWALAGRO,134546950
OSWALGREEN,256809160
OSWALPUMPS,114004897
OSWALSEEDS,91470000
PACEDIGITK,215851327
PACIFICI,6892650
PAGEIND,11153874
PAISALO,914149114
PAKKA,47668100
PALASHSECU,10003102
PALREDTEC,12232566
PANACEABIO,61250746
PANAMAPET,60493598
PANORAMA,260535625
PANSARI,17446800
PARACABLES,327239473
PARADEEP,1038520250
PARAGMILK,126508539
PARAS,80587330
PARASPETRO,334221000
PARKHOSPS,431930865
PARKHOTELS,213374246
PASHUPATI,157840000
PASUPTAC,89133121
PATANJALI,1087879698
PATELENG,955047697
PATELRMART,33400528
PAUSHAKLTD,24656912
PAVNAIND,139530000
PAYTM,639407626
PBMPOLY,6879020
PCBL,393462604
PCJEWELLER,9752134855
PDMJEPAPER,94950000
PDSL,141237401
PEARLPOLY,16834932
PENIND,134946231
PENINLAND,331728220
PERSISTENT,156231044
PETRONET,1500000088
PFC,3300101760
PFIZER,45747732
PFOCUS,778773880
PFS,642283335
PGEL,286496708
PGHH,32460736
PGHL,16599382
PGIL,92381084
PHOENIXLTD,357677858
PHOENXINTL,16789560
PICCADIL,98571508
PIDILITIND,1018540168
PIGL,21168900
PIIND,151706138
PILANIINVS,11072250
PILITA,235000000
PINELABS,1153858090
PIONEEREMB,30815442
PIRAMALFIN,236146178
PITTIENG,36913588
PIXTRANS,13625200
PLASTIBLEN,25989200
PLATIND,54924873
PLAZACABLE,43752078
PML,3084000
PNB,11492943268
PNBGILTS,180010134
PNBHOUSING,260803913
PNC,14467000
PNCINFRA,256539165
PNGJL,147202585
PNGSREVA,31698400
POCL,76278198
PODDARMENT,10610000
POEL,30835393
POKARNA,31004000
POLICYBZR,462099887
POLYCAB,150635053
POLYMED,101361465
POLYPLEX,31392462
PONNIERODE,8598418
POONAWALLA,875866912
POWERGRID,9300603819
POWERICA,126551877
POWERINDIA,44572363
POWERMECH,31616292
PPLPHARMA,1325018448
PRABHA,156086692
PRAENG,69935791
PRAJIND,183813088
PRAKASH,179081839
PRAKASHSTL,175000390
PRASOLCHEM,59183431
PRAVEG,26140695
PRAXIS,185812210
PRECAM,94985835
PRECOT,12000000
PRECWIRE,182807975
PREMEXPLN,53784143
PREMIERENE,451446522
PREMIERPOL,104742475
PRESTIGE,430730232
PRICOLLTD,121881498
PRIMESECU,33960325
PRIMO,242343220
PRINCEPIPE,110582248
PRITI,13353329
PRIVISCL,39062706
PROSTARM,58874592
PROTEAN,40779165
PROZONER,152602883
PRSMJOHNSN,503356580
PRUDENT,41406680
PSB,7095585220
PSPPROJECT,39641791
PTC,296008321
PTCIL,14992549
PTL,132377000
PUNJABCHEM,12262185
PURVA,237149686
PVP,260403681
PVRINOX,98199962
PVSL,71198198
PWL,2900900000
PYRAMID,36879916
QPOWER,77444100
QUADFUTURE,40000000
QUESS,149385918
QUICKHEAL,54273580
QUINT,47208008
RACE,17257200
RACLGEAR,11808915
RADAAN,54161540
RADIANTCMS,106707906
RADICO,133982398
RADIOCITY,351344170
RAILTEL,320938407
RAIN,336345679
RAINBOW,101450140
RAJMET,276480000
RAJPALAYAM,9220200
RAJRATAN,50771000
RAJSREESUG,33135606
RAJTV,51913344
RALLIS,194468890
RAMANEWS,150497721
RAMAPHO,35386426
RAMCOCEM,236292380
RAMCOIND,86841560
RAMCOSYS,37596664
RAMKY,69197791
RAMRAT,93349072
RANASUG,153567820
RANEHOLDIN,14277809
RATEGAIN,118425559
RATNAMANI,70092000
RATNAVEER,83926350
RAYMOND,66551431
RAYMONDLSL,60905789
RAYMONDREL,66551431
RBA,712078330
RBLBANK,1551642481
RCF,551688100
RECLTD,2633224000
REDINGTON,781774431
REDTAPE,552807600
REFEX,137228548
REGAAL,102993860
REGENCERAM,26441586
RELAXO,248938586
RELCHEMQ,7543563
RELIABLE,10320000
RELIANCE,13532472635
RELIGARE,344733742
RELTD,198561903
REMSONSIND,35068103
RENUKA,2128489773
REPCOHOME,62561362
REPRO,14345338
RESPONIND,266608544
RETAIL,8204600
RGL,107407721
RHETAN,796875000
RHIM,206501426
RHL,17291696
RICOAUTO,135285000
RIIL,15100000
RIR,79572400
RISHABH,38696972
RITCO,28470507
RITES,480603774
RKDL,24000000
RKEC,23990600
RKFORGE,181809483
RKSWAMY,50477241
RMC,10576850
RML,27637137
ROHLTD,27425215
ROLEXRINGS,262333120
ROML,14988684
ROSSARI,55394116
ROSSELLIND,37696475
ROSSTECH,37840264
ROTO,188911161
ROUTE,63003082
RPEL,45921950
RPGLIFE,16539015
RPOWER,4135770966
RPPINFRA,49585918
RPSGVENT,33086409
RPTECH,66405746
RRECL,26308400
RRIL,121214290
RRKABEL,113105505
RSL,83567659
RSSOFTWARE,25831212
RSYSTEMS,118495958
RTNINDIA,1380887604
RTNPOWER,5370105860
RTSPOWR,9168500
RUBFILA,54267529
RUBICON,165092124
RUBYMILLS,33440000
RUCHINFRA,236024942
RUCHIRA,29844985
RUDRA,100343828
RUPA,79544453
RUSHIL,293416820
RUSTOMJEE,126247473
RVHL,61325746
RVNL,2085020100
RVTH,3066943
S&SPOWER,12341550
SAATVIKGL,127105004
SAB,15210078
SADBHAV,171570800
SADBHIN,352225216
SAFARI,48997306
SAGARDEEP,17057400
SAGCEM,130707548
SAGILITY,4681328413
SAHLIBHFI,30888400
SAHYADRI,10946300
SAIL,4130525289
SAILIFE,212418216
SAIPARENT,44179232
SAKAR,21949910
SAKHTISUG,119017298
SAKSOFT,128529193
SAKUMA,1567718640
SALASAR,1747950290
SALONA,5262400
SALSTEEL,144766700
SALZERELEC,17682737
SAMBHAAV,191110840
SAMBHV,294671429
SAMHI,222359672
SAMMAANCAP,1148686844
SAMPANN,51110000
SANATHAN,84404059
SANDESH,7569421
SANDHAR,60335331
SANDUMA,486104814
SANGAMIND,49310016
SANGHVIMOV,86576000
SANOFI,23030622
SANOFICONR,23063488
SANSERA,62403568
SANSTAR,200268407
SAPPHIRE,321757988
SAPPL,8895217
SARDAEN,352381270
SAREGAMA,191959490
SARLAPOLY,79503000
SARVESHWAR,1231626469
SASKEN,15191491
SATIA,100000000
SATIN,109988019
SAURASHCEM,111287280
SAYAJIHOTL,17517977
SAYAJIIND,25280000
SBC,476190000
SBCL,57604200
SBFC,1108313067
SBGLP,173416440
SBICARD,951643098
SBIFUNDS,2036827612
SBILIFE,1003405073
SBIN,9230617586
SCHAEFFLER,156303670
SCHAND,35272192
SCHNEIDER,239104035
SCI,465799010
SCILAL,465799010
SCODATUBES,59908900
SDBL,207901312
SEAMECLTD,25514016
SECMARK,10960848
SECURKLOUD,33410605
SEDEMAC,44167500
SEIL,161000000
SEJALLTD,11724224
SEKURITIND,91105700
SEMAC,3117308
SENCO,163900959
SENORES,46053588
SEPC,1943322803
SERVOTECH,225845348
SESHAPAPER,63068140
SETL,199491662
SFL,109203314
SGFIN,65895000
SGIL,15535000
SGL,459304
SGLRES,250479800
SGMART,126074400
SGRL,12837620
SHADOWFAX,586730566
SHAH,1026374228
SHAILY,45995248
SHAKTIPUMP,123397965
SHALBY,107298755
SHANKARA,24249326
SHANKESH,147031420
SHANTI,11106000
SHANTIGEAR,76740309
SHANTIGOLD,76739471
SHARDACROP,90220495
SHARDAMOTR,57407706
SHAREINDIA,218825530
SHBAJRG,9000000
SHERVANI,2572973
SHILCTECH,11440200
SHILGRAVQ,6149800
SHILPAMED,195581816
SHIPROCKET,727577587
SHIVAAGRO,9993000
SHIVALIK,16032365
SHIVAMAUTO,132770795
SHIVAMILLS,8641808
SHIVATEX,13739152
SHIVAUM,13600400
SHK,138420801
SHOPERSTOP,110205662
SHRADHA,80997568
SHREDIGCEM,147914278
SHREECEM,36080748
SHREEJISPG,162918254
SHREEPUSHK,32337691
SHREERAMA,133468005
SHREYANIND,13824550
SHRIKRISH,28000000
SHRINGARMS,96432080
SHRIPISTON,46386272
SHRIRAMFIN,2353045034
SHRIRAMPPS,170654392
SHRJAGP,8758000
SHUKRAPHAR,440787440
SHYAMMETL,278326554
SHYAMTEL,11446530
SICAGEN,39571684
SIEL,13850000
SIEMENS,356120505
SIGACHI,382485375
SIGMA,102774980
SIGNATURE,140686026
SIGNPOST,53450000
SIL,64328941
SILGO,31985888
SILINV,10595860
SILVERTUC,126810000
SIMPLEXINF,79095346
SINCLAIR,51260000
SINDHUTRAD,1842383810
SINTERCOM,27527823
SIRCA,56932842
SIS,139575713
SIYSIL,45370088
SJS,32249529
SJVN,3929795175
SKFINDIA,49437963
SKFINDUS,49437963
SKIPPER,122160635
SKMEGGPROD,52725421
SKYGOLD,154873884
SKYWAYS,145343544
SMARTWORKS,114381076
SMCGLOBAL,209400000
SMLMAH,14471646
SMLT,13689750
SMSPHARMA,93652030
SNOWMAN,167212843
SOBHA,106953834
SOFTTECH,13842138
SOLARA,48250512
SOLARINDS,90490055
SOLARWORLD,86672654
SOLEX,10802489
SOMANYCERA,41012806
SOMATEX,33974177
SOMICONVEY,12159368
SONACOMS,624128424
SONAL,14738525
SONATSOFTW,276794469
SOTL,68560415
SOUTHBANK,2619301068
SOUTHWEST,32651422
SPAL,25138883
SPANDANA,88639506
SPARC,324521588
SPCENET,567736000
SPENCERS,90012009
SPIC,203640336
SPLIL,29353979
SPLPETRO,188041342
SPMLINFRA,84149923
SPORTKING,127270569
SRD,63966780
SRF,296406025
SRGHFL,15707588
SRHHYPOLTD,17164821
SRM,22948529
SRTL,39975000
SSDL,39599800
SSWL,157265105
STANLEY,57125663
STAR,92172715
STARCEMENT,404180417
STARHEALTH,588403502
STARPAPER,15608350
STARTECK,9910330
STCINDIA,60000000
STEELCAS,101200000
STEELCITY,15107095
STEELXIND,1275518412
STEL,18455405
STLNETWORK,488271779
STLSTRINF,8643000
STOVEKRAFT,33107321
STUDDS,39353400
STYL,161805826
STYLAMIND,16958736
STYLEBAAZA,76117353
STYRENIX,17596304
SUBEXLTD,554855308
SUBROS,65235750
SUDARCOLOR,23081798
SUDARSCHEM,79616857
SUDEEPPHRM,112948625
SUKHJITS,31244000
SULA,84447229
SUMEDHA,7984424
SUMEETINDS,526325680
SUMICHEM,499145736
SUMIT,47858753
SUMMITSEC,10946802
SUNCLAY,22046162
SUNDARAM,473877773
SUNDARMFIN,110217571
SUNDRMFAST,210128371
SUNDROP,37696853
SUNFLAG,180219448
SUNPHARMA,2399334970
SUNSHINE,31148784
SUNTECK,146842025
SUNTV,394084620
SUPERHOUSE,11025000
SUPRAJIT,137179346
SUPREME,38802562
SUPREMEIND,127081790
SUPREMEINF,97502760
SUPRIYA,80482800
SURAJEST,47945921
SURAJLTD,18364100
SURAKSHA,52080758
SURANASOL,49206600
SURANAT&P,135759963
SURYALAXMI,18805290
SURYAROSNI,217635896
SURYODAY,106296649
SUVEN,282562686
SUVIDHAA,212778457
SUYOG,11717120
SUZLON,13746422921
SVLL,11493700
SVPGLOB,126500000
SWANCORP,313456886
SWARAJENG,12149865
SWELECTES,15536238
SWIGGY,2620001701
SWSOLAR,233541391
SYMPHONY,68671400
SYNCOMF,940000000
SYNGENE,402503158
SYRMA,192624977
TAINWALCHM,9363863
TAJGVK,62701495
TAKE,146224984
TALBROAUTO,61728150
TANLA,132050724
TARACHAND,78824900
TARAPUR,19500011
TARC,295096335
TARIL,300165834
TARMAT,25064255
TARSONS,53206281
TASTYBITE,2566000
TATACAP,4216692745
TATACHEM,254756278
TATACOMM,285085643
TATACONSUM,989690012
TATAELXSI,62299561
TATAINVEST,505952960
TATAPOWER,3195339547
TATASTEEL,12474316070
TATATECH,406051830
TATVA,23392055
TBOTEK,106783982
TBZ,66730620
TCI,76831142
TCIEXP,38444165
TCIFINANCE,12872493
TCPLPACK,9080905
TCS,3618087518
TDPOWERSYS,313706860
TEAMGTY,8993149
TEAMLEASE,15281400
TECHM,885923456
TECHNOCRAF,39606200
TECHNOE,116299574
TECHNVISN,6275000
TECILCHEM,18963700
TEGA,75127698
TEJASNET,177866106
TEMBO,193551980
TENNIND,403604309
TERASOFT,12511875
TEXINFRA,127426590
TEXMOPIPES,29195000
TEXRAIL,406864572
TFCILTD,462977240
TFL,71651052
TGBHOTELS,29286400
TGVSL,107089800
THACKER,1087719
THAKDEV,9000000
THANGAMAYL,31082021
THEINVEST,52242217
THEJO,10847454
THELEELA,333957878
THEMISMED,92883618
THERMAX,112648671
THOMASCOOK,465981141
THOMASCOTT,14853530
THYROCARE,159161691
TI,247897900
TIGERLOGS,105725000
TIIL,22672798
TIINDIA,193572320
TIMETECHNO,493635379
TIMEX,100950000
TIMKEN,75218734
TINNARUBR,18015757
TIPSFILMS,4322886
TIPSMUSIC,127494474
TIRUMALCHM,120552774
TITAGARH,119881000
TITAN,887312335
TMB,158351454
TMCV,3682789352
TMPV,3682992140
TNPETRO,89971474
TNPL,69210600
TNTELE,45671400
TOKYOPLAST,9501400
TOLINS,39508831
TORNTPHARM,380367856
TORNTPOWER,503903543
TOUCHWOOD,11081246
TOYAMSL,577815000
TPLPLASTEH,78003000
TRACXN,106955079
TRANSRAILL,134256025
TRAVELFOOD,131710153
TREEHOUSE,42310724
TREJHARA,24116754
TREL,245695524
TRENT,533232301
TRF,11004412
TRIDENT,5095584070
TRIGYN,30785736
TRITURBINE,317898459
TRIVENI,220363016
TRU,118861871
TRUALT,85752591
TSFINV,220691839
TTKHLTCARE,14130333
TTKPRESTIG,136966384
TTL,258310944
TTML,1954927727
TUTIALKA,121835830
TVSELECT,18820065
TVSHLTD,20232104
TVSMOTOR,475226252
TVSSCS,441223777
TVSSRICHAK,7657050
TVTODAY,59668615
UBL,264405149
UCOBANK,12539558979
UDS,67535713
UEL,133397814
UFLEX,72211486
UFO,38824757
UGARSUGAR,112500000
UGROCAP,152815503
UJJIVANSFB,1951056342
ULTRACEMCO,294169635
ULTRAMAR,29200000
UMESLTD,26730911
UMIYA-MRO,18684602
UNICHEMLAB,70405750
UNIDT,20303126
UNIECOM,112379173
UNIENTER,139091698
UNIINFO,10693120
UNIMECH,50901997
UNIONBANK,7633605607
UNIPARTS,45123226
UNITDSPR,710055403
UNITECH,2616301047
UNITEDPOLY,229515500
UNITEDTEA,4996566
UNIVCABLES,34695381
UNOMINDA,577467206
UPL,845284163
URBANCO,1472540141
URJA,557206000
USHAMART,304400280
USK,55357142
UTIAMC,128540222
UTKARSHBNK,1779523684
UTLSOLAR,306901762
UTTAMSUGAR,38138120
V2RETAIL,364637550
VADILALIND,7187830
VADILENT,862668
VAIBHAVGBL,167702609
VAISHALI,130462130
VAKRANGEE,1083604307
VAML,3904155728
VARDMNPOLY,508419004
VARROC,152799335
VASCONEQ,231697111
VASWANI,32998624
VBL,3382494644
VEDAVAAG,23464200
VEDL,3904801732
VEDPOWER,3904155728
VEEDOL,16994860
VENKEYS,14087336
VENTIVE,233541609
VENUSPIPES,20716110
VERANDA,96506610
VERTOZ,85230000
VESUVIUS,202960800
VGCL,22907380
VGL,51528678
VGUARD,436891055
VHL,3191536
VIDHIING,49945000
VIDYAWIRES,212692307
VIJAYA,102997715
VIKASECO,1768706024
VIKASLIFE,1857668560
VIKRAMSOLR,362354381
VIKRAN,257911026
VIMTALABS,44699859
VINATIORGA,103740649
VINCOFE,145688409
VINDHYATEL,11850863
VINEETLAB,19206266
VINNY,465246622
VINYLINDIA,18337111
VIPCLOTHNG,90129519
VIPIND,142053696
VIRAT,14523339
VIRINCHI,112707372
VISACHROME,145789500
VISAKAIND,86404760
VISHAL,247610003
VISHNU,67315284
VISHWARAJ,217827700
VISL,3910388057
VITAL,23951100
VIVIANA,10042400
VIVIDHA,292700534
VIVOBIOT,22190628
VIYASH,441215420
VLEGOV,108451329
VLSFINANCE,31378663
VMART,79575390
VMM,4684808639
VMSTMT,49631210
VOEPL,34251071
VOGL,3904155728
VOLTAMP,10117120
VOLTAS,330884740
VPRPL,125141156
VRAJ,32982620
VRLLOG,174936990
VSSL,96685678
VSTIND,169543660
VSTL,18962443
VSTTILLERS,8652754
VTL,289475800
VTMLTD,100569000
WAAREEENER,287651335
WAAREEINDO,41603691
WAAREERTL,104379217
WABAG,62491568
WAKEFIT,331645219
WALCHANNAG,67904532
WANBURY,34966928
WATERBASE,41426779
WCIL,101955213
WEALTH,10655000
WEBELSOLAR,434163470
WEIZMANIND,15493852
WEL,134008000
WELCORP,263703928
WELENT,135613810
WELSPUNLIV,948060014
WENDT,2000000
WESTLIFE,155215762
WEWIN,10161000
WEWORK,138870213
WHBRADY,2550000
WHEELS,24433012
WHIRLPOOL,126920341
WILLAMAGOR,10956360
WINDLAS,20636229
WINDMACHIN,103459417
WIPL,8487340
WIPRO,9893340252
WOCKPHARMA,162492169
WONDERLA,63422766
WORTHPERI,15751000
WSI,75895318
WSTCSTPAPR,66048908
XCHANGING,111403716
XELPMOC,14830721
XPROINDIA,23470391
XTGLOBAL,134123705
XTRANET,52285700
YASHO,12057095
YATHARTH,96354357
YATRA,156916193
YESBANK,31389067719
YUKEN,13584000
ZAGGLE,134717159
ZEEL,960519420
ZEELEARN,327731291
ZEEMEDIA,655428680
ZENITHEXPO,5396250
ZENITHSTL,142280448
ZENSARTECH,226799456
ZENTEC,89942636
ZFCVINDIA,113805504
ZFSTEERING,9073300
ZIMLAB,53658488
ZODIACLOTH,27458131
ZOTA,34632587
ZSARACOM,1095928
ZUARI,42058006
ZUARIIND,29781184
ZYDUSLIFE,997503832
ZYDUSWELL,318160720
