symbol,series,isin,name
HITECHGEAR,BE,INE127B01011,THE HI-TECH GEARS LIMITED
HMVL,BE,INE871K01015,HINDUSTAN MEDIA VENT LTD
HYBRIDFIN,BE,INE965B01022,HYBRID FINANCIAL SERVICE
ICDSLTD,BE,INE613B01010,ICDSLTD
INDOAMIN,BE,INE760F01028,INDO AMINES LIMITED
INVPRECQ,BE,INE155E01016,INVESTMENT & PREC CAST L
IVP,BE,INE043C01018,IVP LIMITED
KALYANIFRG,BE,INE314G01014,KALYANI FORGE LIMITED
KAMDHENU,BE,INE390H01020,KAMDHENU LIMITED
KANORICHEM,BE,INE138C01024,KANORIACHEMICALS-
KAUSHALYA,BE,INE234I01028,KAUSHALYA INFRA DEV LTD.
KAVDEFENCE,BE,INE641C01019,KAVVERI DFS & WIR TEC LTD
KAYA,BE,INE587G01015,KAYA LIMITED
KCPSUGIND,BE,INE790B01024,KCPSUGARINDUS
KESORAMIND,BE,INE087A01019,KESORAM INDUSTRIES LTD
KHADIM,BE,INE834I01025,KHADIM INDIA LIMITED
KILITCH,BE,INE729D01010,KILITCH DRUGS INDIA LTD
KOTARISUG,BE,INE419A01022,KOTHARI SUG & CHEM LTD.
KOTYARK,BE,INE0J0B01017,KOTYARK INDUSTRIES LTD
KRONOX,BE,INE0ATZ01017,KRONOX LAB SCIENCES LTD
KSR,BE,INE1SPP01016,KSR FOOTWEAR LIMITED
LADDERUP,BE,INE519D01015,LADDERUP FINANCE LTD.
LANCORHOL,BE,INE572G01025,LANCOR HOLDINGS LIMITED
LEENEE,BE,INE791B01014,LEE & NEE SOFTWARES (E) L
LOTUSDEV,BE,INE0V9Q01010,SRI LOTUS DEVLPRS N RTY L
LYKALABS,BE,INE933A01014,LYKA LABS LTD.
MADHUCON,BE,INE378D01032,MADHUCON PROJECTS LTD.
MAHASTEEL,BE,INE451L01014,MAHAMAYA STEEL INDS LTD
MAJESAUT,BE,INE201B01022,MAJESTIC AUTO LTD.
MANAKSTEEL,BE,INE824Q01011,MANAKSIA STEELS LTD
MAZDA,BE,INE885E01042,MAZDA LIMITED
MBECL,BE,INE748A01024,MCNALLY BHARAT ENGIN CO L
MEDICAMEQ,BE,INE646B01010,MEDICAMEN BIOTECH LIMITED
MEDICAPQ,BE,INE442D01010,MEDI CAPS LTD.
MENNPIS,BE,INE650G01029,MENON PISTONS LTD.
MENONBE,BE,INE071D01033,MENON BEARINGS LIMITED
MHLXMIRU,BE,INE112D01035,MAHALAXMI RUBTECH LIMITED
MICEL,BE,INE287C01037,MIC ELECTRONICS LTD
MINALIND,BE,INE097E01028,MINAL INDUSTRIES LTD.
MODISONLTD,BE,INE737D01021,MODISON LIMITED
MOLDTECH,BE,INE835B01035,MOLD-TEK TECHNOLOGIES LTD
MOMSBELIEF,BE,INE1FCO01014,RAYS OF BELIEF LIMITED
MPDL,BE,INE493H01014,MPDL LTD.
MTARTECH,BE,INE864I01014,MTAR TECHNOLOGIES LIMITED
MTEDUCARE,BE,INE472M01018,MT EDUCARE LTD
MUKKA,BE,INE0CG401037,MUKKA PROTEINS LIMITED
MUKTAARTS,BE,INE374B01019,MUKTA ARTS LIMITED
MYSORPETRO,BE,INE741A01011,MYSORE PETRO CHEMICALS L
NATCAPSUQ,BE,INE936B01015,NATURAL CAPSULES LIMITED
NAVKARURB,BE,INE268H01044,NAVKAR URBANSTRUCTURE LTD
NECCLTD,BE,INE553C01016,NORTH EAST CARRY CORP LTD
NEUEON,BE,INE333I01044,NEUEON CORPORATION LTD
NIRAJISPAT,BE,INE326T01011,NIRAJ ISPAT IND LTD
NRL,BE,INE0JM501013,NUPUR RECYCLERS LIMITED
NURECA,BE,INE0DSF01015,NURECA LIMITED
OCCLLTD,BE,INE0PK601023,OCCL LIMITED
OILCOUNTUB,BE,INE591A01010,OIL COUNTRY TUBULAR LTD.
OMFREIGHT,BE,INE1BZC01019,OM FREIGHT FORWARDERS LTD
ONELIFECAP,BE,INE912L01015,ONELIFE CAP ADVISORS LTD
ONMOBILE,BE,INE809I01019,ONMOBILE GLOBAL LTD.
ORBTEXP,BE,INE231G01010,ORBIT EXPORTS LIMITED
ORIENTLTD,BE,INE609C01024,ORIENT PRESS LIMITED
OSIAHYPER,BE,INE06IR01021,OSIA HYPER RETAIL LIMITED
PANACHE,BE,INE895W01019,PANACHE DIGILIFE LIMITED
PAR,BE,INE04LG01015,PAR DRUGS AND CHEM LTD
PARSVNATH,BE,INE561H01026,PARSVNATH DEVELOPER LTD
PATINTLOG,BE,INE529D01014,PATEL INT. LOG. LTD
PIONRINV,BE,INE746D01014,PIONEER INVESTCORP LTD.
PKTEA,BE,INE431F01018,THE P K TEA PROD CO LTD
PPAP,BE,INE095I01015,PPAP AUTOMOTIVE LIMITED
PPL,BE,INE050001010,PRAKASH PIPES LIMITED
PRADPME,BE,INE770A01010,PRADEEP METALS LTD.
PREMIER,BE,INE342A01018,PREMIER LIMITED
PRIORITY,BE,INE15EH01014,PRIORITY JEWELS LIMITED
PRITIKAUTO,BE,INE583R01029,PRITIKA AUTO INDUS LTD
PRUDMOULI,BE,INE024D01016,PRUDENTIAL SUGAR CORPORAT
QMSMEDI,BE,INE0FMW01018,QMS MEDICAL ALLIED S LTD
RADHIKAJWE,BE,INE583V01021,RADHIKA JEWELTECH LIMITED
RAJOOENG,BE,INE535F01024,RAJOO ENGINEERS LIMITED
RAJRILTD,BE,INE533D01032,RAJ RAYON INDUSTRIES LTD
RAMASTEEL,BE,INE230R01035,RAMA STEEL TUBES LIMITED
RBZJEWEL,BE,INE0PEQ01016,RBZ JEWELLERS LIMITED
RCOM,BE,INE330H01018,RELIANCE COMMUNICATIONS L
RELINFRA,BE,INE036A01016,RELIANCE INFRASTRUCTU LTD
REPL,BE,INE364Z01019,RUDRABHISHEK ENTERP LTD
RMDRIP,BE,INE219Y01026,R M DRIP & SPRINK SYS LTD
RNBDENIMS,BE,INE012Q01039,R&B DENIMS LIMITED
ROLLT,BE,INE927A01040,ROLLATAINERS LIMITED
RPPL,BE,INE760W01023,RAJSHREE POLYPACK LTD
RSDFIN,BE,INE616F01022,R S D FINANCE LTD.
RSWM,BE,INE611A01016,RSWM LIMITED
SADHNANIQ,BE,INE888C01040,SADHANA NITROCHEM LIMITED
SANGINITA,BE,INE753W01010,SANGINITA CHEMICALS LTD
SCANSTL,BE,INE099G01011,SCAN STEELS LTD.
SCPL,BE,INE501Y01019,SHEETAL COOL PRODUCTS LTD
SETCO,BE,INE878E01021,SETCO AUTOMOTIVE LTD
SEYAIND,BE,INE573R01012,SEYA INDUSTRIES LIMITED
SHAHALLOYS,BE,INE640C01011,SHAH ALLOYS LIMITED
SHALPAINTS,BE,INE849C01026,SHALIM PAINTS LTD
SHARDUL,BE,INE037B01020,SHARDUL SECURITIES LTD.
SHEKHAWATI,BE,INE268L01046,SHEKHAWATI INDUSTRIES LTD
SHEMAROO,BE,INE363M01019,SHEMAROO ENTER. LTD.
SHYAMCENT,BE,INE979R01011,SHYAM CENTURY FERROUS LTD
SICALLOG,BE,INE075B01020,SICAL LOGISTICS LIMITED
SIGIND,BE,INE529F01035,SIGNET INDUSTRIES LIMITED
SIGMAADV,BE,INE933B01012,SIGMA ADVANCED SYSTEM LTD
SIKKO,BE,INE112X01025,SIKKO INDUSTRIES LIMITED
SMARTLINK,BE,INE178C01020,SMARTLINK HOLDINGS LTD
SONAMLTD,BE,INE00LM01029,SONAM LIMITED
SPECIALITY,BE,INE247M01014,SPECIALITY REST LTD
SPECTRUM,BE,INE01EO01010,SPECTRUM ELECTRIC IND LTD
SREEL,BE,INE099F01013,SREELEATHERS LIMITED
SRIKPRIND,BE,INE009C01019,SRI KPR INDUSTRIES LTD.
STALLION,BE,INE0RYC01010,STALLION IND FLUOROCHEM L
STERTOOLS,BE,INE334A01023,STERLING TOOLS LIMITED
STLTECH,BE,INE089C01029,STERLITE TECHNOLOGIES LTD
SUNDRMBRAK,BE,INE073D01013,SUNDARAMBRAKE LININGS LTD
SUPERSPIN,BE,INE662A01027,SUPER SPINNING MILLS LTD
SUPTANERY,BE,INE460D01038,SUPER TANNERY LTD.
SUTLEJTEX,BE,INE645H01027,SUTLEJ TEXT & INDUS LTD
SWANDEF,BE,INE542F01020,SWAN DEFENCE N HEVY IND L
SWARAJ,BE,INE0GMR01016,SWARAJ SUITING LIMITED
SWISSMLTRY,BE,INE010C01025,SWISS MILITARY CON GOOD L
SYSTMTXC,BE,INE356B01024,SYSTEMATIX CORP SERVICE L
TAMBOLIIN,BE,INE864J01012,TAMBOLI INDUSTRIES LTD.
TICL,BE,INE388G01026,TWAMEV CONS AND INFRA LTD
TIJARIA,BE,INE440L01017,TIJARIA POLYPIPES LTD
TIL,BE,INE806C01018,TIL LTD
TIRUPATIFL,BE,INE319Y01024,TIRUPATI FORGE LIMITED
TOTAL,BE,INE336X01012,TOTAL TRANSPORT SYS LTD
TPHQ,BE,INE065J01024,TEAMO PRODUCTIONS HQ LTD
TRANSPEK,BE,INE687A01016,TRANSPEK INDUSTRIES LTD
TRANSWORLD,BE,INE757B01015,TRANSWORLD SHIP LINES LTD
TVVISION,BE,INE871L01013,TV VISION LIMITED
UCAL,BE,INE139B01016,UCAL LIMITED
UFBL,BE,INE382M01027,UNITED FOODBRANDS LIMITED
UMAEXPORTS,BE,INE0GIU01018,UMA EXPORTS LIMITED
UNIVASTU,BE,INE562X01013,UNIVASTU INDIA LIMITED
UNIVPHOTO,BE,INE03V001013,UNIVERSUS IMAGINGS LTD
URAVIDEF,BE,INE568Z01015,URAVI DEFENCE &TECH LTD
UYFINCORP,BE,INE152C01025,U. Y. FINCORP LIMITED
VALIANTLAB,BE,INE0JWS01017,VALIANT LABORATORIES LTD
VALIANTORG,BE,INE565V01010,VALIANT ORGANICS LIMITED
