symbol,series,isin,name
AMBER,EQ,INE371P01015,AMBER ENTERPRISES (I) LTD
AMBICAAGAR,EQ,INE792B01012,AMBICA AGAR & AROMAINDLTD
AMBIKCO,EQ,INE540G01014,AMBIKA COTTON MILL LTD.
AMBUJACEM,EQ,INE079A01024,AMBUJA CEMENTS LTD
AMJLAND,EQ,INE606A01024,AMJ LAND HOLDINGS LIMITED
AMNPLST,EQ,INE275D01022,AMINES & PLASTICIZERS LTD
AMRUTANJAN,EQ,INE098F01031,AMRUTAJAN HEALTH LTD
ANANDRATHI,EQ,INE463V01026,ANAND RATHI WEALTH LTD
ANANTRAJ,EQ,INE242C01024,ANANT RAJ LIMITED
ANDHRAPAP,EQ,INE435A01051,ANDHRA PAPER LIMITED
ANDHRSUGAR,EQ,INE715B01021,ANDHRA SUGARS LTD
ANDREWYU,EQ,INE449C01025,ANDREW YULE & CO. LTD.
ANGELONE,EQ,INE732I01021,ANGEL ONE LIMITED
ANIKINDS,EQ,INE087B01017,ANIK INDUSTRIES LTD
ANNAPURNA,EQ,INE0MGM01017,ANNAPURNA SWADISHT LTD
ANNU,EQ,INE103001017,ANNU PROJECTS LIMITED
ANSALBU,EQ,INE030C01015,ANSAL BUILDWELL LTD.
ANTELOPUS,EQ,INE818A01017,ANTELOPUS SELAN ENRGY LTD
ANTGRAPHIC,EQ,INE414B01021,ANTARCTICA LTD
ANTHEM,EQ,INE0CZ201020,ANTHEM BIOSCIENCES LTD
ANUHPHR,EQ,INE489G01022,ANUH PHARMA LIMITED
ANUP,EQ,INE294Z01018,THE ANUP ENGINEERING LTD
ANURAS,EQ,INE930P01018,ANUPAM RASAYAN INDIA LTD
AONEGOLD,EQ,INF1J2R01114,AONEAMC - AONEGOLD
AONELIQUID,EQ,INF1J2R01056,AONEAMC - AONELIQUID
AONENIFTY,EQ,INF1J2R01064,AONEAMC - AONENIFTY
AONESILVER,EQ,INF1J2R01171,AONEAMC - AONESILVER
AONETMMQ50,EQ,INF1J2R01148,AONEAMC - AONETMMQ50
AONETOTAL,EQ,INF1J2R01015,AONEAMC - AONETOTAL
APARINDS,EQ,INE372A01015,APAR INDUSTRIES LTD.
APCL,EQ,INE071F01012,ANJANI PORTLAND CEM LTD
APCOTEXIND,EQ,INE116A01032,APCOTEX INDUSTRIES LIMITE
APEX,EQ,INE346W01013,APEX FROZEN FOODS LIMITED
APLAPOLLO,EQ,INE702C01027,APL APOLLO TUBES LTD
APLLTD,EQ,INE901L01018,ALEMBIC PHARMA LTD
APOLLO,EQ,INE713T01028,APOLLO MICRO SYSTEMS LTD
APOLLOHOSP,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L
APOLLOPIPE,EQ,INE126J01016,APOLLO PIPES LIMITED
APOLLOTYRE,EQ,INE438A01022,APOLLO TYRES LTD
APOLSINHOT,EQ,INE451F01024,APOLLO SINDOORI HOTEL LTD
APOORVA,EQ,INE217S01014,APOORVA LEAS F & INV C L
APTUS,EQ,INE852O01025,APTUS VALUE HSG FIN I LTD
AQYLON,EQ,INE416A01051,AQYLON NEXUS LIMITED
ARCHIDPLY,EQ,INE877I01016,ARCHIDPLY IND. LTD
ARCHIES,EQ,INE731A01020,ARCHIES LTD
ARCIL,EQ,INE148G01016,ASSET RECONSTRUC CO (I) L
ARCL,EQ,INE372M01010,ARCL ORGANICS LTD.
ARDEE,EQ,INE0XNF01022,ARDEE INDUSTRIES LIMITED
ARE&M,EQ,INE885A01032,AMARA RAJA ENERGY MOB LTD
ARENTERP,EQ,INE610C01014,RAJDARSHAN INDUSTRIES LTD
ARFIN,EQ,INE784R01023,ARFIN INDIA LIMITED
ARIHANT,EQ,INE413D01011,ARIHANT FOUN & HOU LTD
ARIHANTCAP,EQ,INE420B01036,ARIHANT CAPITAL MKTS LTD
ARIHANTSUP,EQ,INE643K01018,ARIHANT SUPERSTRUCT LTD
ARIS,EQ,INE0H9P01028,ARISINFRA SOLUTIONS LTD
ARKADE,EQ,INE0QRL01017,ARKADE DEVELOPERS LIMITED
ARMANFIN,EQ,INE109C01017,ARMAN FIN SERV LTD
AROGRANITE,EQ,INE210C01013,ARO GRANITE IND. LTD.
ARROWGREEN,EQ,INE570D01018,ARROW GREENTECH LIMITED
ARSSBL,EQ,INE549H01021,ANAND RATHI SH N STK BR L
ARTEMISMED,EQ,INE025R01021,ARTEMIS MED SERVICE LTD
ARTNIRMAN,EQ,INE738V01013,ART NIRMAN LIMITED
ARVEE,EQ,INE006Z01016,ARVEE LABORATORIES I LTD
ARVIND,EQ,INE034A01011,ARVIND LIMITED
ARVINDFASN,EQ,INE955V01021,ARVIND FASHIONS LIMITED
ARVSMART,EQ,INE034S01021,ARVIND SMARTSPACES LTD
ARYAMAN,EQ,INE032E01017,ARYAMAN FINANCIAL SERV L
ASAHIINDIA,EQ,INE439A01020,ASAHI INDIA GLASS LIMITED
ASAL,EQ,INE900C01027,AUTOMOTIVE STAMPINGS & AS
ASALCBR,EQ,INE073G01016,ASSO ALCOHOLS & BREW LTD
ASHAPURMIN,EQ,INE348A01023,ASHAPURA MINECHEM LTD
ASHIANA,EQ,INE365D01021,ASHIANA HOUSING LTD
ASHIMASYN,EQ,INE440A01010,ASHIMA LTD
ASHOKA,EQ,INE442H01029,ASHOKA BUILDCON LTD
ASHOKAMET,EQ,INE760Y01011,ASHOKA METCAST LIMITED
ASHOKLEY,EQ,INE208A01029,ASHOK LEYLAND LTD
ASIANENE,EQ,INE276G01015,ASIAN ENERGY SERVICES LTD
ASIANHOTNR,EQ,INE363A01022,ASIAN HOTELS (NORTH) LTD
ASIANPAINT,EQ,INE021A01026,ASIAN PAINTS LIMITED
ASIANTILES,EQ,INE022I01019,ASIAN GRANITO IND. LTD.
ASIANTNE,EQ,INE822B01017,ASIAN TEA & EXPORTS LTD.
ASKAUTOLTD,EQ,INE491J01022,ASK AUTOMOTIVE LIMITED
ASPINWALL,EQ,INE991I01015,ASPINWALL & CO LTD
ASSAMENT,EQ,INE165G01010,ASSAM ENTRADE LIMITED
ASTAR,EQ,INE194D01017,ASIAN STAR CO. LTD.
ASTEC,EQ,INE563J01010,ASTEC LIFESCIENCES LTD
ASTERDM,EQ,INE914M01019,ASTER DM QUALITY CARE LTD
ASTRAL,EQ,INE006I01046,ASTRAL LIMITED
ASTRAMICRO,EQ,INE386C01029,ASTRA MICROWAVE LTD
ASTRAZEN,EQ,INE203A01020,ASTRAZENECA PHARMA IND LT
ATALREAL,EQ,INE0ALR01029,ATAL REALTECH LIMITED
ATAM,EQ,INE09KD01013,ATAM VALVES LIMITED
ATGL,EQ,INE399L01023,ADANI TOTAL GAS LIMITED
ATHERENERG,EQ,INE0LEZ01016,ATHER ENERGY LIMITED
ATL,EQ,INE0NN701020,ALLCARGO TERMINALS LTD
ATLANTAA,EQ,INE285H01022,ATLANTAA LIMITED
ATLANTAELE,EQ,INE0Z4F01028,ATLANTA ELECTRICALS LTD
ATLASCYCLE,EQ,INE446A01025,ATLAS CYCLE (HARYANA) LTD
ATUL,EQ,INE100A01010,ATUL LTD
ATULAUTO,EQ,INE951D01028,ATUL AUTO LIMITED
AUBANK,EQ,INE949L01017,AU SMALL FINANCE BANK LTD
AUGMONT,EQ,INE16W401027,AUGMONT ENTERPRISES LTD
AURIONPRO,EQ,INE132H01018,AURIONPRO SOLN LTD
AUROPHARMA,EQ,INE406A01037,AUROBINDO PHARMA LTD
AURUM,EQ,INE898S01029,AURUM PROPTECH LIMITED
AURUS,EQ,INE142K01011,AURUS GEM CORP LIMITED
AUSOMENT,EQ,INE218C01016,AUSOM ENTERPRISE LIMITED
AUSTENG,EQ,INE759F01012,AUSTIN ENGINEERING CO. L
AUTOAXLES,EQ,INE449A01011,AUTOMOTIVE AXLES LIMITED
AUTOBEES,EQ,INF204KC1337,NIPPONAMC - NETFAUTO
AUTOIETF,EQ,INF109KC10V2,ICICIPRAMC - ICICIAUTO
AUTOIND,EQ,INE718H01014,AUTOLINE INDUSTRIES LTD
AVADHSUGAR,EQ,INE349W01017,AVADH SUG & ENERGY LTD
AVALON,EQ,INE0LCL01028,AVALON TECHNOLOGIES LTD
AVANCE,EQ,INE758A01072,AVANCE TECHNOLOGIES LTD.
AVANTEL,EQ,INE005B01027,AVANTEL LIMITED
AVANTIFEED,EQ,INE871C01038,AVANTI FEEDS LIMITED
AVL,EQ,INE679V01027,ADITYA VISION LIMITED
AVONMORE,EQ,INE323B01024,AVONMORE CAP&MGT SERV LTD
AVROIND,EQ,INE652Z01025,AVRO INDIA LIMITED
AVTNPL,EQ,INE488D01021,AVT NATURAL PRODUCTS LTD
AWFIS,EQ,INE108V01019,AWFIS SPACE SOLUTIONS LTD
AWHCL,EQ,INE01BK01022,ANTONY WASTE HDG CELL LTD
AWL,EQ,INE699H01024,AWL AGRI BUSINESS LIMITED
AXISBANK,EQ,INE238A01034,AXIS BANK LIMITED
AXISCADES,EQ,INE555B01013,AXISCADES TECH LTD
AXITA,EQ,INE02EZ01022,AXITA COTTON LIMITED
AXTEL,EQ,INE767C01012,AXTEL INDUSTRIES LTD.
AYE,EQ,INE501X01029,AYE FINANCE LIMITED
AYMSYNTEX,EQ,INE193B01039,AYM SYNTEX LIMITED
AZAD,EQ,INE02IJ01035,AZAD ENGINEERING LIMITED
AZADIND,EQ,INE566M01017,AZAD INDIA MOBILITY LTD.
BAGFILMS,EQ,INE116D01028,B.A.G FILMS AND MEDIA LTD
BAIDFIN,EQ,INE020D01022,BAID FINSERV LIMITED
BAJAJ-AUTO,EQ,INE917I01010,BAJAJ AUTO LIMITED
BAJAJCON,EQ,INE933K01021,BAJAJ CONSUMER CARE LTD
BAJAJELEC,EQ,INE193E01025,BAJAJ ELECT.LTD
BAJAJFINSV,EQ,INE918I01026,BAJAJ FINSERV LTD.
BAJAJHCARE,EQ,INE411U01027,BAJAJ HEALTHCARE LIMITED
BAJAJHFL,EQ,INE377Y01014,BAJAJ HOUSING FINANCE LTD
BAJAJHIND,EQ,INE306A01021,BAJAJ HINDUSTHAN SUGAR LT
BAJAJHLDNG,EQ,INE118A01012,BAJAJ HOLDINGS & INVS LTD
BAJAJINDEF,EQ,INE0O9T01021,INDEF MANUFACTURING LTD
BAJAJST,EQ,INE704G01024,BAJAJ STEEL INDS. LTD.
BAJEL,EQ,INE0KQN01018,BAJEL PROJECTS LIMITED
BAJFINANCE,EQ,INE296A01032,BAJAJ FINANCE LIMITED
BALAJEE,EQ,INE0S2G01011,SHREE TIRUPATI BALAJEE L
BALAJITELE,EQ,INE794B01026,BALAJI TELEFILMS LIMITED.
BALAMINES,EQ,INE050E01027,BALAJI AMINES LIMITED
BALAXI,EQ,INE618N01022,BALAXI PHARMA LTD
BALKRISHNA,EQ,INE875R01011,BALKRISHNA PAPER MILLS L
BALKRISIND,EQ,INE787D01026,BALKRISHNA IND. LTD
BALMLAWRIE,EQ,INE164A01016,BALMER LAWRIE & CO LTD
BALPHARMA,EQ,INE083D01012,BAL PHARMA LTD.
BALRAMCHIN,EQ,INE119A01028,BALRAMPUR CHINI MILLS LTD
BALUFORGE,EQ,INE011E01029,BALU FORGE INDUSTRIES LTD
BANARBEADS,EQ,INE655B01011,BANARAS BEADS LTD
BANARISUG,EQ,INE459A01010,BANNARI AMMAN SUGARS LTD
BANCOINDIA,EQ,INE213C01025,BANCO PRODUCTS (I) LTD
BANDHANBNK,EQ,INE545U01014,BANDHAN BANK LIMITED
BANG,EQ,INE863I01016,BANG OVERSEAS LTD.
BANK10ADD,EQ,INF740KA1YH2,DSPAMC - BANK10ADD
BANK10BETF,EQ,INF0QA701CI0,BFAM - BANK10BETF
BANKA,EQ,INE862Y01015,BANKA BIOLOO LIMITED
BANKADD,EQ,INF740KA1RX3,DSPAMC - DSPBANK
BANKBARODA,EQ,INE028A01039,BANK OF BARODA
BANKBEES,EQ,INF204KB15I9,NIP IND ETF BANK BEES
BANKBETA,EQ,INF789F1AUV1,UTIAMC-BANKBETA
BANKBETF,EQ,INF0QA701714,BFAM - BANKBETF
BANKETF,EQ,INF769K01KR3,MIRAEAMC - BANKETF
BANKIETF,EQ,INF109KC15I8,ICICIPRAMC - IPRU5008
BANKINDIA,EQ,INE084A01016,BANK OF INDIA
BANKNIFTY1,EQ,INF174KA1ZB7,KOTAKMAMC-KOTAKBKETF
BANKPSU,EQ,INF769K01LZ4,MIRAEAMC - BANKPSU
BANSALWIRE,EQ,INE0B9K01025,BANSAL WIRE INDUSTRIES L
BANSWRAS,EQ,INE629D01020,BANSWARA SYNTEX LIMITED
BASF,EQ,INE373A01013,BASF INDIA LTD
BATAINDIA,EQ,INE176A01028,BATA INDIA LTD
BATLIBOI,EQ,INE177C01022,BATLIBOI LTD.
BAYERCROP,EQ,INE462A01022,BAYER CROPSCIENCE LTD
BBETF0432,EQ,INF754K01OB1,EDELAMC - BBETF0432
BBL,EQ,INE464A01036,BHARAT BIJLEE LTD
BBNPNBETF,EQ,INF251K01TL6,BARODABNP - BBNPNBETF
BBNPPGOLD,EQ,INF251K01SU9,BARODABNP - BBNPPGOLD
BBOX,EQ,INE676A01027,BLACK BOX LIMITED
BBTC,EQ,INE050A01025,BOMBAY BURMAH TRADING COR
BBTCL,EQ,INE01EE01011,B&B TRIPLEWALL CONT LTD
BCG,EQ,INE425B01027,BRIGHTCOM GROUP LIMITED
BCLIND,EQ,INE412G01024,BCL INDUSTRIES LIMITED
BCONCEPTS,EQ,INE977Y01011,BRAND CONCEPTS LIMITED
BCPL,EQ,INE00SW01015,BCPL RAILWAY INFRA LTD
BDL,EQ,INE171Z01026,BHARAT DYNAMICS LIMITED
BEARDSELL,EQ,INE520H01022,BEARDSELL LIMITED
BECTORFOOD,EQ,INE495P01020,MRS BECTORS FOOD SPE LTD
BEDMUTHA,EQ,INE844K01012,BEDMUTHA INDUST LTD
BEEKAY,EQ,INE213D01015,BEEKAY STEEL INDS. LTD.
BEL,EQ,INE263A01024,BHARAT ELECTRONICS LTD
BELLACASA,EQ,INE344T01014,BELLA CASA FASH AND RET L
BELRISE,EQ,INE894V01022,BELRISE INDUSTRIES LTD
BEML,EQ,INE258A01024,BEML LIMITED
BENARAS,EQ,INE664D01019,BENARES HOTELS LTD.
BENGALASM,EQ,INE083K01017,BENGAL & ASSAM CO. LTD.
BEPL,EQ,INE922A01025,BHANSALI ENG. POLYMERS LT
BERGEPAINT,EQ,INE463A01038,BERGER PAINTS (I) LTD
BESTAGRO,EQ,INE052T01021,BEST AGROLIFE LIMITED
BETA,EQ,INE351Y01019,BETA DRUGS LIMITED
BFINVEST,EQ,INE878K01010,BF INVESTMENT LIMITED
BFSI,EQ,INF769K01HI8,MIRAEAMC - MAFSETF
BFUTILITIE,EQ,INE243D01012,BF UTILITIES LIMITED
BHAGCHEM,EQ,INE414D01027,BHAGIRADHA CHEM & INDS L
BHAGYANGR,EQ,INE458B01036,BHAGYANAGAR INDIA LIMITED
BHANDARI,EQ,INE474E01029,BHANDARI HOSIERY EXP LTD
BHARATCOAL,EQ,INE05XR01022,BHARAT COKING COAL LTD
BHARATFORG,EQ,INE465A01025,BHARAT FORGE LTD
BHARATRAS,EQ,INE838B01021,BHARAT RASAYAN LTD
BHARATSE,EQ,INE415D01024,BHARAT SEATS LIMITED
BHARATWIRE,EQ,INE316L01019,BHARAT WIRE ROPES LTD.
BHARTIARTL,EQ,INE397D01024,BHARTI AIRTEL LIMITED
BHARTIHEXA,EQ,INE343G01021,BHARTI HEXACOM LIMITED
BHEL,EQ,INE257A01026,BHEL
BIGBLOC,EQ,INE412U01025,BIGBLOC CONSTRUCTION LTD
BIKAJI,EQ,INE00E101023,BIKAJI FOODS INTERN LTD
BIL,EQ,INE828A01016,BHARTIYA INTERNATIONAL
BIMETAL,EQ,INE469A01019,BIMETAL BEARINGS LTD.
BIOCON,EQ,INE376G01013,BIOCON LIMITED.
BIOFILCHEM,EQ,INE829A01014,BIOFIL CHEM & PHARMA LTD
BIRLACABLE,EQ,INE800A01015,BIRLA CABLE LIMITED
BIRLACORPN,EQ,INE340A01012,BIRLA CORPORATION LTD
BIRLAMONEY,EQ,INE865C01022,ADITYA BIRLA MONEY LTD
BIRLANU,EQ,INE557A01011,BIRLANU LIMITED
BLACKBUCK,EQ,INE0UIZ01018,BLACKBUCK LIMITED
BLAL,EQ,INE0N7W01012,BEML LAND ASSETS LIMITED
BLBLIMITED,EQ,INE791A01024,BLB LIMITED
BLEL,EQ,INE1EEM01017,BEHARI LAL ENGINEERING L
BLIL,EQ,INE525F01025,BALMER LAWRIE INVSTS. L
BLKASHYAP,EQ,INE350H01032,B.L.KASHYAP & SON LTD
BLS,EQ,INE153T01027,BLS INTL SERVS LTD
BLSE,EQ,INE0NLT01010,BLS E-SERVICES LIMITED
BLUECLOUDS,EQ,INE373T01047,BLUE CLOUD SOFTECH SOLU L
BLUECOAST,EQ,INE472B01011,BLUE COAST HOTELS LIMITED
BLUEDART,EQ,INE233B01017,BLUE DART EXPRESS LTD
BLUEJET,EQ,INE0KBH01020,BLUE JET HEALTHCARE LTD
BLUESTARCO,EQ,INE472A01039,BLUE STAR LIMITED
BLUESTONE,EQ,INE304W01038,BLUESTONE JEWEL LFSTL LTD
BLUSPRING,EQ,INE0U4101014,BLUSPRING ENTERPRISES LTD
BMWVENTLTD,EQ,INE965W01036,BMW VENTURES LIMITED
BNAGROCHEM,EQ,INE00HZ01011,BN AGROCHEM LTD.
BNKETFAXIS,EQ,INF846K01X63,AXISAMC-BNKETFAXIS
BODALCHEM,EQ,INE338D01028,BODAL CHEMICALS LTD
BOHRAIND,EQ,INE802W01023,BOHRA INDUSTRIES LIMITED
BOMDYEING,EQ,INE032A01023,BOMBAY DYEING & MFG. CO L
BONLON,EQ,INE0B9A01018,BONLON INDUSTRIES LIMITED
BORANA,EQ,INE16SF01016,BORANA WEAVES LIMITED
BOROLTD,EQ,INE02PY01013,BOROSIL LIMITED
BORORENEW,EQ,INE666D01022,BOROSIL RENEWABLES LTD
BOROSCI,EQ,INE02L001032,BOROSIL SCIENTIFIC LTD
BOSCH-HCIL,EQ,INE782A01015,BOSCH HOME COMFRT IND LTD
BOSCHLTD,EQ,INE323A01026,BOSCH LIMITED
BPCL,EQ,INE029A01011,BHARAT PETROLEUM CORP  LT
BPL,EQ,INE110A01019,BPL LTD
BPLPHARMA,EQ,INE365Y01019,BHARAT PARENTERALS LTD.
BRAHMINFRA,EQ,INE320I01017,BRAHMAPUTRA INFRA L
BRIGADE,EQ,INE791I01019,BRIGADE ENTER. LTD
BRIGHOTEL,EQ,INE03NU01014,BRIGADE HOTEL VENTURE LTD
BRIGHTBR,EQ,INE630D01010,BRIGHT BROTHERS LTD.
BRITANNIA,EQ,INE216A01030,BRITANNIA INDUSTRIES LTD
BRNL,EQ,INE727S01012,BHARAT ROAD NETWORK LTD
BROOKS,EQ,INE650L01011,BROOKS LAB LIMITED
BSE,EQ,INE118H01025,BSE LIMITED
BSE500IETF,EQ,INF109KC1V59,ICICIPRAMC - ICICI500
BSHSL,EQ,INE032Z01020,BOMBAY SUPER HYBRID SEEDS
BSL,EQ,INE594B01012,BSL LTD
BSLGOLDETF,EQ,INF209KB18D3,ADITYBIRLA SL GOLD ETF-GR
BSLNIFTY,EQ,INF209KB19D1,ADITYBIRLA SL NIF ETF-GR
BSLSENETFG,EQ,INF209KB10E8,BIRLASLAMC - BSLSENETFG
BSOFT,EQ,INE836A01035,BIRLASOFT LIMITED
BTML,EQ,INE0EEJ01023,BODHI TREE MULTIMEDIA LTD
BUILDPRO,EQ,INE24OJ01011,SHANKARA BUILDPRO LIMITED
BUTTERFLY,EQ,INE295F01017,BTRFLY GANDHI APPL LTD
BVCL,EQ,INE139I01011,BARAK VALLEY CEM. LTD.
CAMLINFINE,EQ,INE052I01032,CAMLIN FINE SCIENCES LTD
CAMPUS,EQ,INE278Y01022,CAMPUS ACTIVEWEAR LIMITED
CAMS,EQ,INE596I01020,COMPUTER AGE MNGT SER LTD
CANBK,EQ,INE476A01022,CANARA BANK
CANFINHOME,EQ,INE477A01020,CAN FIN HOMES LTD
CANHLIFE,EQ,INE01TY01017,CANARA HSBC LIFE INS CO L
CANTABIL,EQ,INE068L01024,CANTABIL RETAIL LTD
CAPACITE,EQ,INE264T01014,CAPACITE INFRAPROJECT LTD
CAPILLARY,EQ,INE0ILV01024,CAPILLARY TECHNO INDIA L
CAPITALSFB,EQ,INE646H01017,CAPITAL SMALL FIN BANK L
CAPLIPOINT,EQ,INE475E01026,CAPLIN POINT LAB LTD.
CARBORUNIV,EQ,INE120A01034,CARBORUNDUM UNIVERSAL LTD
CARERATING,EQ,INE752H01013,CARE RATINGS LIMITED
CARRARO,EQ,INE0V7W01012,CARRARO INDIA LIMITED
CARTRADE,EQ,INE290S01011,CARTRADE TECH LIMITED
CARYSIL,EQ,INE482D01024,CARYSIL LIMITED
CASHIETF,EQ,INF109K1A021,ICICIPRAMC - CASHIETF
CASTROLIND,EQ,INE172A01027,CASTROL INDIA LIMITED
CCAVENUE,EQ,INE483S01020,AVENUESAI LIMITED
CCCL,EQ,INE429I01024,CONS. CONST. CONSORT LTD
CCHHL,EQ,INE652F01027,COUNTRY CLUB HOSP HOL LTD
CCL,EQ,INE421D01022,CCL PRODUCTS (I) LTD
CDSL,EQ,INE736A01011,CENTRAL DEPO SER (I) LTD
CEATLTD,EQ,INE482A01020,CEAT LIMITED
CEIGALL,EQ,INE0AG901020,CEIGALL INDIA LIMITED
CEINSYS,EQ,INE016Q01014,CEINSYS TECH LIMITED
CELEBRITY,EQ,INE185H01016,CELEBRITY FASHIONS LTD
CELLO,EQ,INE0LMW01024,CELLO WORLD LIMITED
CEMNTGROWW,EQ,INF666M01PH7,GROWWAMC - CEMNTGROWW
CEMPRO,EQ,INE686A01026,CEMINDIA PROJECTS LIMITED
CENTENKA,EQ,INE485A01015,CENTURY ENKA LTD
CENTEXT,EQ,INE281A01026,CENTURY EXTRUSIONS LTD
CENTRALBK,EQ,INE483A01010,CENTRAL BANK OF INDIA
CENTRUM,EQ,INE660C01027,CENTRUM CAPITAL LIMITED
CENTUM,EQ,INE320B01020,CENTUM ELECTRONICS LTD
CENTURYPLY,EQ,INE348B01021,CENTURY PLYBOARDS (I) LTD
CERA,EQ,INE739E01017,CERA SANITARYWARE LTD
CESC,EQ,INE486A01021,CESC LTD
CEWATER,EQ,INE037Z01029,CONCORD ENVIRO SYSTEMS L
CGCL,EQ,INE180C01042,CAPRI GLOBAL CAPITAL LTD
CGPOWER,EQ,INE067A01029,CG POWER AND IND SOL LTD
CGVAK,EQ,INE084D01010,C G V A K SOFTWARE & EX L
CHALET,EQ,INE427F01016,CHALET HOTELS LIMITED
CHAMBLFERT,EQ,INE085A01013,CHAMBAL FERTILIZERS LTD
CHEMBOND,EQ,INE995D01025,CHEMBOND MATERIALTECH LTD
CHEMCRUX,EQ,INE298W01016,CHEMCRUX ENTERPRISES LTD.
CHEMFAB,EQ,INE783X01023,CHEMFAB ALKALIS LIMITED
CHEMICAL,EQ,INF174KA1XV0,KOTAKMAMC - CHEMICAL
CHEMPLASTS,EQ,INE488A01050,CHEMPLAST SANMAR LIMITED
CHENNPETRO,EQ,INE178A01016,CHENNAI PETROLEUM CORP LT
CHEVIOT,EQ,INE974B01016,CHEVIOT COMPANY LIMITED
CHOICEGOLD,EQ,INF2KCX01012,CHOICEAMC - CHOICEGOLD
CHOICEIN,EQ,INE102B01014,CHOICE INTERNATIONAL LTD
CHOLAFIN,EQ,INE121A01024,CHOLAMANDALAM IN & FIN CO
CHOLAHLDNG,EQ,INE149A01033,CHOLAMANDALAM FIN HOL LTD
CIEINDIA,EQ,INE536H01010,CIE AUTOMOTIVE INDIA LTD
CIFL,EQ,INE345H01024,CAPITAL INDIA FINANCE LTD
CINELINE,EQ,INE704H01022,CINELINE INDIA LIMITED
CINEVISTA,EQ,INE039B01026,CINEVISTA LIMITED
CIPLA,EQ,INE059A01026,CIPLA LTD
CLEAN,EQ,INE227W01023,CLEAN SCIENCE & TECH LTD
CLEANMAX,EQ,INE647U01026,CLEAN MAX ENVIRO EN SOL L
CLEDUCATE,EQ,INE201M01029,CL EDUCATE LIMITED
CLSEL,EQ,INE419D01026,CHAMAN LAL SETIA EXP LTD
CMLL,EQ,INE11XY01018,CALIBER MINING AND LOG L
CMPDI,EQ,INE05HV01027,CENTRAL MINE P N D INST L
CMRGREEN,EQ,INE00WV01027,CMR GREEN TECHNOLOGIES L
CMSINFO,EQ,INE925R01014,CMS INFO SYSTEMS LIMITED
CNL,EQ,INE985W01018,CREATIVE NEWTECH LIMITED
COALINDIA,EQ,INE522F01014,COAL INDIA LTD
COASTCORP,EQ,INE377E01024,COASTAL CORPORATION LTD
COCHINSHIP,EQ,INE704P01025,COCHIN SHIPYARD LIMITED
COCKERILL,EQ,INE515A01019,JOHN COCKERILL INDIA LTD.
COFFEEDAY,EQ,INE335K01011,COFFEE DAY ENTERPRISE LTD
COFORGE,EQ,INE591G01025,COFORGE LIMITED
COHANCE,EQ,INE03QK01018,COHANCE LIFESCIENCES LTD
COLPAL,EQ,INE259A01022,COLGATE PALMOLIVE LTD.
COMFINTE,EQ,INE819A01049,COMFORT INTECH LTD.
COMMOIETF,EQ,INF109KC19O8,ICICIPRAMC - ICICICOMMO
COMPEAU,EQ,INE823B01015,COMPETENT AUTOMOB CO. L
COMPUSOFT,EQ,INE453B01029,COMPUCOM SOFTWARE LTD
COMSYN,EQ,INE073V01015,COMMERCIAL SYN BAGS LTD
CONCOR,EQ,INE111A01025,CONTAINER CORP OF IND LTD
CONCORDBIO,EQ,INE338H01029,CONCORD BIOTECH LIMITED
CONFIPET,EQ,INE552D01024,CONFIDENCE PETRO IND LTD.
CONS,EQ,INF174KA1ZF8,KOTAKMAMC - KOTAKCONS
CONSUMAXIS,EQ,INF846K016C7,AXISAMC-CONSUMAXIS
CONSUMBEES,EQ,INF204KA1LD7,NIP IND ETF CONSUMPTION
CONSUMER,EQ,INF769K01NS5,MIRAEAMC - CONSUMER
CONSUMIETF,EQ,INF109KC1V42,ICICIPRAMC - ICICICONSU
CONTROLPR,EQ,INE663B01015,CONTROL PRINT LIMITED
CORALFINAC,EQ,INE558D01021,CORAL INDIA FIN & HOUS LT
CORDELIA,EQ,INE0LZF01039,WATERWAYS LEISURE TOUR L
CORDSCABLE,EQ,INE792I01017,CORDS CABLE INDUS LTD.
COROMANDEL,EQ,INE169A01031,COROMANDEL INTERNTL. LTD
CORONA,EQ,INE02ZQ01018,CORONA REMEDIES LIMITED
COSMOFIRST,EQ,INE757A01017,COSMO FIRST LIMITED
CPCAP,EQ,INE521J01018,CP CAPITAL LIMITED
CPEDU,EQ,INE0P6P01016,CAREER POINT EDUTECH LTD
CPL,EQ,INE536P01021,CAPTAIN POLYPLAST LIMITED
CPPLUS,EQ,INE819V01029,ADITYA INFOTECH LIMITED
CPSEETF,EQ,INF457M01133,CPSE ETF
CRAFTSMAN,EQ,INE00LO01017,CRAFTSMAN AUTOMATION LTD
CRAMC,EQ,INE218I01013,CANARA ROBECO AMC LIMITED
CRAVATEX,EQ,INE145E01017,CRAVATEX LTD.
CREATIVEYE,EQ,INE230B01021,CREATIVE EYE LIMITED
CREDITACC,EQ,INE741K01010,CREDITACCESS GRAMEEN LTD
CREST,EQ,INE559D01011,CREST VENTURES LIMITED
CRESTO,EQ,INE203Y01012,CRESTO TECHNO LIMITED
CRISIL,EQ,INE007A01025,CRISIL LTD
CRIZAC,EQ,INE0S4R01014,CRIZAC LIMITED
CROMPTON,EQ,INE299U01018,CROMPT GREA CON ELEC LTD
CROWN,EQ,INE491V01019,CROWN LIFTERS LIMITED
CSBBANK,EQ,INE679A01013,CSB BANK LIMITED
CSLFINANCE,EQ,INE718F01018,CSL FINANCE LIMITED
