date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-07-30,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,22.0,22.75,21.52,22.59,22.11,2.17,1298784,29339530.76
2026-07-30,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,29.15,31.78,29.15,31.13,29.15,6.79,92027,2864800.43
2026-07-30,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,46.11,47.25,45.0,45.16,46.11,-2.06,6504,293720.64
2026-07-30,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,394.0,398.9,387.7,393.15,390.5,0.68,7083,2784681.41
2026-07-30,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,15.38,15.38,15.0,15.04,15.3,-1.7,23502,353470.08
2026-07-30,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,10.03,10.14,10.0,10.09,10.06,0.3,1212155,12230644.13
2026-07-30,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,46.99,46.99,44.15,44.51,42.98,3.56,708,31513.08
2026-07-30,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,4.91,4.91,4.72,4.83,4.91,-1.63,40927,197677.41
2026-07-30,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,542.05,555.55,542.0,547.85,570.0,-3.89,543,297482.54
2026-07-30,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.38,4.38,4.12,4.16,4.18,-0.48,61784,257021.43
2026-07-30,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,245.0,251.7,235.3,249.62,246.87,1.11,5586,1394377.29
2026-07-30,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,5.34,5.54,5.34,5.34,5.44,-1.84,115177,615045.2
2026-07-30,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,210.0,211.0,206.15,207.62,205.87,0.85,3195,663345.88
2026-07-30,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,165.42,165.42,164.9,165.42,162.18,2.0,38284,6332939.21
2026-07-30,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,31.73,35.0,31.15,33.49,30.96,8.17,439044,14703584.3
2026-07-30,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,47.0,47.46,46.3,46.84,47.48,-1.35,1770,82906.8
2026-07-30,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,10.05,10.15,9.7,9.86,10.04,-1.79,30429,300029.93
2026-07-30,APTECHT,BE,INE266F01018,APTECH LIMITED,90.55,92.87,89.0,90.66,91.6,-1.03,35221,3193135.99
2026-07-30,ARIES,BE,INE298I01015,ARIES AGRO LTD.,343.65,344.2,336.65,338.3,343.65,-1.56,3952,1336961.55
2026-07-30,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,365.2,407.7,365.2,376.1,356.35,5.54,480857,180850320.63
2026-07-30,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,7.17,7.28,7.0,7.1,7.06,0.57,196663,1396307.28
2026-07-30,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,206.0,209.5,201.96,205.0,206.68,-0.81,6278,1286990.0
2026-07-30,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,257.76,257.76,257.76,257.76,252.71,2.0,268,69079.68
2026-07-30,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,27.0,27.25,26.65,26.89,27.0,-0.41,31538,848056.8
2026-07-30,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,298.0,301.9,290.05,301.9,287.55,4.99,88635,26758905.96
2026-07-30,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,205.2,209.0,199.0,202.08,206.25,-2.02,27631,5583672.53
2026-07-30,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,126.39,126.9,123.2,124.56,126.39,-1.45,10090,1256810.38
2026-07-30,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,4.0,4.06,3.92,3.99,4.0,-0.25,1008,4021.92
2026-07-30,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,460.0,464.85,452.5,455.15,456.0,-0.19,239331,108931503.19
2026-07-30,BTTL,BE,INE274K01012,BHILWARA TECHNICAL TEXT L,46.4,47.72,45.4,46.77,46.87,-0.21,1683,78713.91
2026-07-30,BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED,33.0,33.0,33.0,33.0,33.0,0.0,0,0.0
2026-07-30,BYKE,BE,INE319B01014,THE BYKE HOSPITALITY LTD,34.74,34.74,32.27,34.49,33.5,2.96,94455,3257753.11
2026-07-30,CALSOFT,BE,INE526B01014,CALIFORNIA SOFTWARE CO LT,21.78,21.78,21.0,21.08,21.2,-0.57,57201,1205797.08
2026-07-30,CAPTRUST,BE,INE707C01018,CAPITAL TRUST LIMITED,16.29,17.31,15.67,17.31,16.49,4.97,193295,3345936.35
2026-07-30,CHEMBONDCH,BE,INE0TGX01019,CHEMBOND CHEMICAL LIMITED,224.96,224.96,217.34,218.61,228.77,-4.44,5781,1263784.41
2026-07-30,CHEMCON,BE,INE03YM01018,CHEMCON SPECIAL CHEM LTD,176.05,176.9,173.0,173.44,176.05,-1.48,8209,1423768.98
2026-07-30,CONSOFINVT,BE,INE025A01027,CONSO. FIN. & HOLD. LTD.,284.01,300.0,284.01,298.4,288.84,3.31,52994,15813409.28
2026-07-30,COUNCODOS,BE,INE695B01025,COUNTRY CONDO S LIMITED,6.65,6.65,5.81,6.17,6.2,-0.48,34026,209940.42
2026-07-30,CTE,BE,INE627H01017,CAMBRIDGE TECH ENTER LTD,31.06,33.96,31.06,33.96,30.88,9.97,57929,1967268.79
2026-07-30,CURAA,BE,INE117B01020,CURA TECHNOLOGIES LIMITED,71.6,76.4,71.33,71.79,77.0,-6.77,2646,189956.34
2026-07-30,CYBERMEDIA,BE,INE278G01037,CYBER MEDIA (INDIA) LTD.,15.65,16.15,15.41,16.06,15.65,2.62,123,1975.38
