date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2025-11-25,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,17.16,17.2,16.82,16.97,17.0,-0.18,212820,3611555.25
2025-11-25,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,50.91,51.29,48.01,48.13,49.81,-3.37,74322,3577117.94
2025-11-25,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,442.45,447.4,421.0,425.4,439.8,-3.27,14854,6318891.51
2025-11-25,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,35.1,35.58,34.5,34.62,35.02,-1.14,12666,438496.91
2025-11-25,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,19.0,19.5,18.4,18.68,18.99,-1.63,356175,6653349.11
2025-11-25,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,47.65,47.89,47.65,47.89,47.89,0.0,1716,82179.24
2025-11-25,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.91,6.12,5.91,6.03,6.02,0.17,43036,259507.09
2025-11-25,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,144.15,144.15,144.15,144.15,144.15,0.0,0,0.0
2025-11-25,AKI,BE,INE642Z01026,AKI INDIA LIMITED,7.68,7.7,7.6,7.64,7.53,1.46,12648,96630.72
2025-11-25,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,258.0,279.9,251.1,271.15,258.9,4.73,22024,5971807.47
2025-11-25,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,6.75,6.8,6.67,6.69,6.69,0.0,125098,836905.63
2025-11-25,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,229.05,230.85,221.0,224.6,229.05,-1.94,7197,1616446.24
2025-11-25,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,113.48,114.72,110.2,111.16,112.5,-1.19,83553,9287751.79
2025-11-25,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,55.0,55.5,53.34,53.53,53.34,0.36,15416,825218.46
2025-11-25,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,14.5,14.85,14.3,14.49,14.63,-0.96,28879,418456.7
2025-11-25,APTECHT,BE,INE266F01018,APTECH LIMITED,101.23,102.47,100.03,101.59,101.23,0.36,111683,11345875.56
2025-11-25,ARIES,BE,INE298I01015,ARIES AGRO LTD.,346.0,349.95,341.5,347.3,344.85,0.71,25659,8911370.39
2025-11-25,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,246.0,249.05,243.95,247.0,249.05,-0.82,6345,1567215.0
2025-11-25,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,12.13,12.13,11.61,11.9,12.13,-1.9,118348,1408341.15
2025-11-25,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,190.37,198.88,190.37,197.23,193.97,1.68,6110,1205075.27
2025-11-25,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,160.72,160.72,160.72,160.72,164.0,-2.0,3008,483445.76
