date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2025-10-31,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,17.29,17.82,17.19,17.53,17.19,1.98,1603459,28108637.37
2025-10-31,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,56.05,58.79,56.05,57.63,56.55,1.91,31746,1829522.01
2025-10-31,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,475.75,476.0,454.0,472.4,475.75,-0.7,6819,3221295.56
2025-10-31,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,40.22,40.89,40.02,40.54,40.22,0.8,15304,620424.17
2025-10-31,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,19.15,19.38,19.0,19.18,19.16,0.1,88908,1705255.47
2025-10-31,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,54.65,54.65,49.55,53.28,52.1,2.26,175,9324.0
2025-10-31,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,6.69,6.74,6.58,6.68,6.63,0.75,104999,701393.3
2025-10-31,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,144.15,144.15,144.15,144.15,144.15,0.0,0,0.0
2025-10-31,AKI,BE,INE642Z01026,AKI INDIA LIMITED,8.44,8.44,8.1,8.16,8.12,0.49,52596,429183.35
2025-10-31,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,274.4,274.4,266.1,268.15,272.5,-1.6,2264,607091.59
2025-10-31,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,7.51,7.64,7.4,7.48,7.51,-0.4,169115,1264980.2
2025-10-31,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,259.6,262.0,253.22,255.33,258.97,-1.41,7616,1944593.29
2025-10-31,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,121.5,122.9,121.0,121.99,122.28,-0.24,40718,4967188.73
2025-10-31,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,59.59,59.59,57.0,58.2,56.64,2.75,14400,838080.01
2025-10-31,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,15.04,15.25,13.35,15.02,14.98,0.27,85698,1287184.0
2025-10-31,APTECHT,BE,INE266F01018,APTECH LIMITED,108.6,108.89,107.2,108.04,107.88,0.15,130954,14148270.28
2025-10-31,ARIES,BE,INE298I01015,ARIES AGRO LTD.,398.6,399.0,384.0,386.7,396.6,-2.5,32623,12615314.5
