date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-08-04,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,24.77,25.37,24.17,25.12,24.39,2.99,2395184,60167024.09
2026-08-04,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,30.01,31.5,30.01,30.31,30.44,-0.43,98562,2987414.17
2026-08-04,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,46.96,47.4,46.06,47.26,46.96,0.64,7625,360357.49
2026-08-04,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,529.95,559.3,488.9,541.85,481.0,12.65,895447,485197935.09
2026-08-04,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,17.39,17.39,17.39,17.39,16.57,4.95,60203,1046930.13
2026-08-04,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,10.15,10.18,9.85,10.02,10.06,-0.4,378240,3789964.97
2026-08-04,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,42.45,46.0,42.45,42.45,42.51,-0.14,467,19824.15
2026-08-04,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,4.86,4.86,4.75,4.84,4.8,0.83,26336,127466.24
2026-08-04,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,549.0,560.0,511.05,520.0,537.0,-3.17,1313,682760.0
2026-08-04,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.09,4.14,4.0,4.04,4.08,-0.98,150715,608888.59
2026-08-04,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,256.1,264.0,250.0,261.49,255.54,2.33,15747,4117682.88
2026-08-04,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,5.96,5.99,5.81,5.99,5.71,4.9,164000,982359.96
2026-08-04,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,269.5,269.5,245.0,247.68,264.15,-6.24,139328,34508758.02
2026-08-04,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,169.75,172.09,169.0,169.75,172.09,-1.36,13870,2354432.5
2026-08-04,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,36.82,43.5,36.76,42.7,36.83,15.94,1635531,69837174.95
2026-08-04,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,47.95,48.51,45.3,46.24,47.52,-2.69,17388,804021.15
2026-08-04,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,10.01,10.3,9.9,10.07,10.01,0.6,16934,170525.37
2026-08-04,APTECHT,BE,INE266F01018,APTECH LIMITED,95.27,95.6,93.12,94.07,95.27,-1.26,38057,3580021.98
2026-08-04,ARIES,BE,INE298I01015,ARIES AGRO LTD.,343.85,345.0,338.8,341.1,340.7,0.12,5368,1831024.83
2026-08-04,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,378.15,404.9,376.0,391.2,391.35,-0.04,26857,10506458.73
2026-08-04,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,7.08,7.4,7.0,7.19,7.08,1.55,490589,3527334.94
2026-08-04,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,205.0,208.08,202.0,203.73,204.0,-0.13,9975,2032206.71
2026-08-04,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,273.55,273.55,273.55,273.55,268.2,1.99,4253,1163408.1
2026-08-04,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,27.9,27.9,26.55,27.46,27.06,1.48,50860,1396615.55
2026-08-04,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,278.0,282.5,265.0,272.15,278.4,-2.24,91699,24955882.29
2026-08-04,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,219.57,224.0,208.6,212.24,219.57,-3.34,28286,6003420.8
2026-08-04,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,117.4,117.4,117.4,117.4,123.57,-4.99,16129,1893544.62
2026-08-04,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,4.06,4.09,3.92,4.0,4.04,-0.99,3928,15712.0
2026-08-04,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,474.5,489.75,469.0,489.75,466.45,5.0,459494,225037186.5
2026-08-04,BTTL,BE,INE274K01012,BHILWARA TECHNICAL TEXT L,46.49,48.44,46.0,46.61,46.14,1.02,8251,384579.12
2026-08-04,BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED,33.0,33.0,33.0,33.0,33.0,0.0,0,0.0
2026-08-04,BYKE,BE,INE319B01014,THE BYKE HOSPITALITY LTD,35.5,35.5,33.56,34.83,34.45,1.1,24354,848249.86
2026-08-04,CALSOFT,BE,INE526B01014,CALIFORNIA SOFTWARE CO LT,22.4,22.4,21.54,21.66,21.81,-0.69,20976,454340.16
2026-08-04,CAPTRUST,BE,INE707C01018,CAPITAL TRUST LIMITED,19.7,20.02,19.7,20.02,19.07,4.98,104095,2083981.95
2026-08-04,CHEMBONDCH,BE,INE0TGX01019,CHEMBOND CHEMICAL LIMITED,230.3,230.3,222.0,229.11,225.43,1.63,1474,337708.14
2026-08-04,CHEMCON,BE,INE03YM01018,CHEMCON SPECIAL CHEM LTD,193.29,193.29,193.29,193.29,184.09,5.0,26608,5143060.14
2026-08-04,CONSOFINVT,BE,INE025A01027,CONSO. FIN. & HOLD. LTD.,295.75,306.0,292.0,304.4,295.75,2.92,16796,5112702.3
2026-08-04,COUNCODOS,BE,INE695B01025,COUNTRY CONDO S LIMITED,6.15,6.18,6.01,6.02,6.02,0.0,17722,106686.44
2026-08-04,CTE,BE,INE627H01017,CAMBRIDGE TECH ENTER LTD,37.73,40.5,37.65,39.82,37.65,5.76,67702,2695893.62
2026-08-04,CURAA,BE,INE117B01020,CURA TECHNOLOGIES LIMITED,72.0,77.7,71.0,77.7,72.5,7.17,229,17793.3
2026-08-04,CYBERMEDIA,BE,INE278G01037,CYBER MEDIA (INDIA) LTD.,16.19,16.19,15.6,15.7,16.19,-3.03,4588,72031.6
2026-08-04,CYBERTECH,BE,INE214A01019,CYBERTECH SYSTEMS & SOFTW,142.99,142.99,138.0,139.35,141.59,-1.58,7268,1012795.84
2026-08-04,DAMODARIND,BE,INE497D01022,DAMODAR INDUSTRIES LTD,28.05,28.05,27.41,28.05,28.05,0.0,750,21037.5
2026-08-04,DBSTOCKBRO,BE,INE921B01025,DB (INT) STOCK BROKERS,34.16,34.5,33.5,33.5,34.16,-1.93,54515,1826252.5
2026-08-04,DELPHIFX,BE,INE726L01027,DELPHI WORLD MONEY LTD,6.81,6.98,6.72,6.8,6.81,-0.15,34385,233818.01
2026-08-04,DIACABS,BE,INE989C01038,DIAMOND POWER INFRA LTD,320.0,322.85,306.75,316.4,322.85,-2.0,2905533,919310623.47
2026-08-04,DIGJAMLMTD,BE,INE731U01028,DIGJAM LTD,48.98,49.85,47.32,48.9,48.59,0.64,18842,921373.83
2026-08-04,DPSCLTD,BE,INE360C01024,DPSC LIMITED,7.69,7.69,7.21,7.42,7.53,-1.46,91506,678974.53
2026-08-04,DPWIRES,BE,INE864X01013,D P WIRES LIMITED,165.91,170.6,162.5,169.56,164.27,3.22,6851,1161655.54
2026-08-04,DSFCL,BE,INE0OFM01015,DCM SHRIRAM FINE CHEM LTD,26.07,26.07,25.58,26.07,25.56,2.0,11817,308069.19
2026-08-04,DSKULKARNI,BE,INE891A01022,DS KULKARNI DEVELOPERS L,9.48,9.48,9.48,9.48,9.03,4.98,22,208.56
2026-08-04,DTIL,BE,INE341R01014,DHUNSERI TEA & IND. LTD.,131.0,132.49,128.2,132.11,130.39,1.32,2312,305438.32
2026-08-04,E2E,BE,INE255Z01027,E2E NETWORKS LIMITED,552.0,570.15,551.6,570.15,543.0,5.0,2968119,1692273120.31
2026-08-04,EASTSILK,BE,INE962C01035,EASTERN SILK INDUSTRIES L,63.88,65.49,59.8,60.01,62.63,-4.18,804,48248.04
2026-08-04,EIFFL,BE,INE546V01010,EURO (I) FRESH FOODS LTD,284.15,284.15,284.15,284.15,299.1,-5.0,40728,11572860.95
2026-08-04,EMAMIPAP,BE,INE830C01026,EMAMI PAPER MILLS LIMITED,115.0,119.75,110.1,113.12,114.9,-1.55,41626,4708733.23
2026-08-04,EMMBI,BE,INE753K01015,EMMBI INDUSTRIES LIMITED,85.55,87.0,83.12,86.97,85.61,1.59,20956,1822543.35
2026-08-04,EQUIPPP,BE,INE217G01035,EQUIPPP SOC IMP TECH LTD,23.0,23.5,22.99,23.49,23.09,1.73,8851,207909.99
2026-08-04,ESAFSFB,BE,INE818W01011,ESAF SMALL FINANCE BANK L,40.92,43.5,40.77,41.98,40.92,2.59,8115114,340672482.01
2026-08-04,EUROTEXIND,BE,INE022C01012,EUROTEX IND & EXPORTS LTD,12.94,12.94,12.81,12.94,12.69,1.97,160,2070.4
2026-08-04,EVERESTIND,BE,INE295A01018,EVEREST INDUSTRIES LTD,465.5,474.0,460.0,464.8,462.85,0.42,14410,6697767.82
2026-08-04,FAIRCHEMOR,BE,INE0DNW01011,FAIRCHEM ORGANICS LIMITED,796.75,829.25,796.75,796.75,813.0,-2.0,18464,14711192.0
2026-08-04,FLEXITUFF,BE,INE060J01017,FLEXITUFF VENTURES INT L,4.15,4.15,3.99,3.99,4.2,-5.0,62538,249526.62
2026-08-04,FOCUS,BE,INE593W01028,FOCUS LIGHTG & FIXTRS LTD,69.2,69.97,68.1,68.7,70.44,-2.47,17296,1188235.15
2026-08-04,GANESHBE,BE,INE388A01029,GANESH BENZOPLAST LIMITED,115.75,119.32,115.0,119.32,113.64,5.0,153552,18321824.59
2026-08-04,GATECH,BE,INE224E01028,GACM TECHNOLOGIES LIMITED,0.76,0.77,0.68,0.68,0.75,-9.33,18451265,12546860.33
2026-08-04,GATECHDVR,BE,INE224E01036,GACM TECHNOLOGIES LIMITED,0.54,0.54,0.51,0.51,0.53,-3.77,428080,218320.8
2026-08-04,GEECEE,BE,INE916G01016,GEECEE VENTURES LIMITED,360.5,367.0,355.0,362.0,361.45,0.15,1640,593680.0
2026-08-04,GFSTEELS,BE,INE534A01028,GRAND FOUNDRY LTD,14.29,14.29,14.29,14.29,14.29,0.0,0,0.0
2026-08-04,GICL,BE,INE947T01022,GLOBE INTL CARRIERS LTD,18.07,18.29,18.0,18.26,17.83,2.41,82626,1508750.78
2026-08-04,GINNIFILA,BE,INE424C01010,GINNIFILAMENTS LTD.,46.85,46.85,45.01,46.03,45.86,0.37,13729,631945.85
2026-08-04,GOLDTECH,BE,INE805A01014,AION-TECH SOLUTIONS LTD,54.94,56.49,53.0,54.51,54.94,-0.78,27091,1476730.36
2026-08-04,GRADIENTE,BE,INE361K01017,GRADIENTE INFOTAINMENT L,2.77,2.84,2.66,2.7,2.78,-2.88,246520,665604.01
