date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2025-10-06,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,22.14,22.16,21.25,21.35,22.14,-3.57,282196,6024884.71
2025-10-06,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,52.05,52.94,51.42,51.91,52.62,-1.35,29360,1524077.6
2025-10-06,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,466.8,473.85,460.05,465.2,466.8,-0.34,2316,1077403.23
2025-10-06,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,41.7,42.25,41.06,41.64,41.71,-0.17,31311,1303790.02
2025-10-06,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,20.35,20.4,19.75,19.88,19.86,0.1,538990,10713504.67
2025-10-06,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,44.45,44.45,43.0,44.29,42.34,4.61,932,41278.28
2025-10-06,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,6.99,7.05,6.95,6.96,6.99,-0.43,125669,874656.24
2025-10-06,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,144.15,144.15,144.15,144.15,144.15,0.0,0,0.0
2025-10-06,AKI,BE,INE642Z01026,AKI INDIA LIMITED,8.7,9.35,8.7,9.17,8.95,2.46,24731,226783.27
2025-10-06,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,267.45,267.75,260.1,262.55,270.6,-2.97,3019,792638.41
2025-10-06,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,7.51,7.59,7.26,7.34,7.51,-2.26,221743,1627593.65
2025-10-06,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,252.02,258.0,247.0,256.46,247.92,3.44,9070,2326092.12
2025-10-06,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,136.05,140.0,134.69,137.76,137.45,0.23,143027,19703398.73
2025-10-06,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,57.52,58.3,55.0,55.72,57.09,-2.4,20496,1142037.15
