date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2025-12-12,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,16.14,16.48,16.08,16.35,16.2,0.93,346500,5665275.13
2025-12-12,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,50.22,50.22,49.22,49.49,49.02,0.96,88059,4358040.06
2025-12-12,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,405.0,414.35,391.6,400.5,403.65,-0.78,12498,5005449.0
2025-12-12,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,32.18,32.59,30.42,30.44,32.02,-4.93,147828,4499884.4
2025-12-12,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,19.97,19.97,19.29,19.44,19.59,-0.77,100819,1959921.41
2025-12-12,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,42.21,42.21,42.21,42.21,42.21,0.0,0,0.0
2025-12-12,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.57,5.7,5.46,5.69,5.53,2.89,201124,1144395.57
2025-12-12,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,144.15,144.15,144.15,144.15,144.15,0.0,0,0.0
2025-12-12,AKI,BE,INE642Z01026,AKI INDIA LIMITED,7.7,7.7,7.29,7.3,7.41,-1.48,61934,452118.21
2025-12-12,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,246.15,250.0,246.15,249.35,244.75,1.88,1669,416165.16
2025-12-12,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,6.57,6.64,6.4,6.5,6.57,-1.07,103706,674089.0
2025-12-12,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,221.94,224.99,220.01,220.67,219.04,0.74,3528,778523.75
2025-12-12,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,103.5,106.0,101.94,105.6,103.64,1.89,81376,8593305.48
2025-12-12,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,50.51,51.79,49.3,50.33,50.56,-0.45,5841,293977.54
2025-12-12,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,14.0,14.2,13.58,14.08,13.7,2.77,33136,466554.88
2025-12-12,APTECHT,BE,INE266F01018,APTECH LIMITED,98.01,98.76,96.76,97.25,98.01,-0.78,116398,11319705.5
2025-12-12,ARIES,BE,INE298I01015,ARIES AGRO LTD.,320.5,325.6,319.7,322.75,318.75,1.25,26501,8553197.75
2025-12-12,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,247.05,252.0,247.0,250.8,247.0,1.54,5824,1460659.22
2025-12-12,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,13.4,13.6,12.1,12.2,13.24,-7.85,1391211,16972773.93
