date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-06-12,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,17.39,17.42,17.0,17.22,17.03,1.12,333384,5740872.25
2026-06-12,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,24.61,25.5,24.6,24.98,24.88,0.4,21379,534047.41
2026-06-12,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,40.8,41.98,40.69,41.65,40.68,2.38,16217,675438.07
2026-06-12,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,367.1,377.0,361.3,374.75,359.55,4.23,8969,3361132.75
2026-06-12,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,15.35,15.35,15.35,15.35,15.35,0.0,0,0.0
2026-06-12,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,9.27,10.88,9.09,10.82,9.07,19.29,6496552,70292690.66
2026-06-12,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,42.0,42.89,41.1,41.34,42.94,-3.73,832,34394.88
2026-06-12,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.56,5.64,5.26,5.41,5.47,-1.1,78069,422353.28
2026-06-12,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,560.05,561.0,560.0,560.7,562.0,-0.23,344,192880.8
2026-06-12,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.9,4.95,4.75,4.86,4.71,3.18,60498,294020.29
2026-06-12,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,207.0,209.0,205.01,206.98,202.26,2.33,2776,574576.47
2026-06-12,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,7.09,7.09,6.83,7.09,6.96,1.87,387546,2747701.2
2026-06-12,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,205.03,210.79,205.0,208.04,202.05,2.96,1858,386538.31
2026-06-12,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,151.95,156.8,150.01,151.82,148.62,2.15,778945,118259435.61
2026-06-12,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,31.5,33.5,31.5,32.56,31.25,4.19,76263,2483123.38
2026-06-12,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,47.4,47.4,45.15,45.97,46.26,-0.63,11725,538998.26
2026-06-12,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,10.81,11.29,10.81,11.08,10.81,2.5,19208,212824.64
2026-06-12,APTECHT,BE,INE266F01018,APTECH LIMITED,110.0,115.5,110.0,114.66,106.74,7.42,2218716,254397984.69
2026-06-12,ARIES,BE,INE298I01015,ARIES AGRO LTD.,325.25,339.9,325.25,336.35,326.4,3.05,26807,9016534.61
2026-06-12,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,259.8,259.8,253.5,257.32,251.65,2.25,7217,1857078.49
2026-06-12,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,7.2,7.3,7.14,7.25,7.08,2.4,290289,2104595.25
2026-06-12,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,167.0,189.0,167.0,178.43,168.22,6.07,377361,67332520.47
2026-06-12,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,179.9,179.9,165.45,165.45,174.15,-5.0,67584,11181772.59
2026-06-12,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,24.83,25.64,24.61,24.75,24.89,-0.56,288793,7147626.75
2026-06-12,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,320.1,333.0,320.0,324.65,320.05,1.44,64779,21030501.95
2026-06-12,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,206.02,210.2,206.0,209.25,205.37,1.89,59871,12528006.75
2026-06-12,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,110.98,112.39,110.01,111.12,109.54,1.44,24829,2758998.55
2026-06-12,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,4.1,4.1,3.91,3.99,3.92,1.79,9855,39321.45
2026-06-12,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,441.4,449.9,435.55,437.85,436.55,0.3,521869,228500344.84
