date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-03-02,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,13.68,13.75,13.5,13.55,13.94,-2.8,395280,5356044.08
2026-03-02,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,26.0,28.3,25.32,26.67,27.29,-2.27,22380,596874.6
2026-03-02,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,40.01,43.0,40.0,41.5,42.8,-3.04,42041,1744701.5
2026-03-02,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,399.0,399.0,383.0,385.6,404.95,-4.78,12003,4628356.87
2026-03-02,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,18.92,19.54,18.58,19.27,19.53,-1.33,75404,1453035.11
2026-03-02,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,17.09,18.11,17.09,17.94,18.03,-0.5,680106,12201102.0
2026-03-02,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,40.18,41.0,39.02,39.02,41.0,-4.83,384,14983.68
2026-03-02,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,4.8,4.84,4.48,4.49,4.88,-7.99,564964,2536688.23
2026-03-02,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,144.15,144.15,144.15,144.15,144.15,0.0,0,0.0
2026-03-02,AKI,BE,INE642Z01026,AKI INDIA LIMITED,5.0,5.0,4.65,4.9,5.09,-3.73,314743,1542240.73
2026-03-02,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,215.11,215.11,203.41,204.59,216.27,-5.4,3734,763939.05
2026-03-02,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,4.85,4.85,4.16,4.51,4.86,-7.2,488362,2202512.73
2026-03-02,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,192.26,200.21,192.26,195.87,200.21,-2.17,4625,905898.73
2026-03-02,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,99.71,100.99,98.42,100.24,102.95,-2.63,41831,4193139.35
2026-03-02,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,40.9,41.4,39.3,40.13,41.5,-3.3,9972,400176.37
2026-03-02,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,10.7,11.7,10.23,11.39,11.87,-4.04,101810,1159615.93
2026-03-02,APTECHT,BE,INE266F01018,APTECH LIMITED,82.37,85.5,82.1,84.7,87.47,-3.17,161523,13680997.61
2026-03-02,ARIES,BE,INE298I01015,ARIES AGRO LTD.,320.0,348.5,315.0,334.2,328.2,1.83,78904,26369717.76
2026-03-02,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,219.85,224.0,213.98,219.84,224.61,-2.12,23480,5161843.11
2026-03-02,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,9.99,10.09,9.63,9.81,10.23,-4.11,1502576,14740271.19
2026-03-02,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,134.1,144.7,134.1,140.75,147.36,-4.49,30094,4235730.5
2026-03-02,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,108.0,111.0,103.41,108.09,106.15,1.83,2851,308164.58
2026-03-02,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,22.5,22.88,21.05,21.71,23.0,-5.61,148624,3226626.9
2026-03-02,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,308.45,324.0,308.45,309.65,324.65,-4.62,140560,43524403.14
2026-03-02,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,147.9,153.0,147.9,152.69,154.19,-0.97,41629,6356332.11
2026-03-02,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,103.0,106.12,103.0,103.74,106.77,-2.84,24730,2565490.15
2026-03-02,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,6.81,7.05,6.46,6.51,6.79,-4.12,2798,18214.98
2026-03-02,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,204.0,215.44,204.0,213.92,212.05,0.88,957140,204751387.05
2026-03-02,BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED,33.0,33.0,33.0,33.0,33.0,0.0,0,0.0
