date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-06-30,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,17.2,17.42,17.12,17.17,17.24,-0.41,151583,2602680.12
2026-06-30,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,25.0,25.49,24.36,25.18,24.62,2.27,213366,5372555.95
2026-06-30,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,47.75,48.79,47.47,47.66,48.03,-0.77,23208,1106093.28
2026-06-30,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,375.15,384.75,368.0,379.05,370.5,2.31,14745,5589092.07
2026-06-30,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,13.18,13.18,13.18,13.18,13.18,0.0,0,0.0
2026-06-30,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,11.72,12.12,11.41,11.59,11.7,-0.94,2960361,34310584.44
2026-06-30,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,42.94,42.94,41.0,41.0,41.94,-2.24,51,2091.0
2026-06-30,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.3,5.49,5.3,5.31,5.4,-1.67,95337,506239.46
2026-06-30,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,560.1,561.0,560.05,560.25,586.95,-4.55,63,35295.75
2026-06-30,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.69,4.85,4.66,4.7,4.69,0.21,50578,237716.59
2026-06-30,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,234.3,244.89,224.52,242.43,234.38,3.43,11640,2821885.11
2026-06-30,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,6.99,6.99,6.99,6.99,7.13,-1.96,19172,134012.28
2026-06-30,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,201.0,203.9,190.0,199.18,198.97,0.11,7522,1498231.9
2026-06-30,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,161.0,164.84,157.0,161.0,160.81,0.12,44086,7097846.0
2026-06-30,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,31.4,33.29,31.4,32.75,31.41,4.27,65680,2151020.0
2026-06-30,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,46.28,46.28,43.5,44.03,44.71,-1.52,14508,638787.22
2026-06-30,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,11.01,11.28,11.01,11.21,11.1,0.99,25404,284778.84
