date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-06-29,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,17.11,17.51,17.11,17.24,17.29,-0.29,165438,2852151.08
2026-06-29,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,24.04,24.97,24.04,24.62,24.49,0.53,180135,4434923.85
2026-06-29,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,52.47,52.47,47.35,48.03,52.29,-8.15,177629,8531520.65
2026-06-29,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,373.75,379.7,369.95,370.5,373.75,-0.87,2261,837700.5
2026-06-29,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,13.21,13.64,13.18,13.18,13.87,-4.97,192097,2531838.52
2026-06-29,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,11.51,12.4,11.34,11.7,11.73,-0.26,11244778,131563900.46
2026-06-29,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,41.78,42.88,40.74,41.94,40.74,2.95,290,12162.6
2026-06-29,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.5,5.61,5.4,5.4,5.59,-3.4,65638,354445.21
2026-06-29,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,590.0,590.0,566.8,586.95,596.6,-1.62,1040,610428.01
2026-06-29,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.81,4.85,4.61,4.69,4.77,-1.68,66595,312330.55
2026-06-29,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,242.0,254.51,232.0,234.38,239.58,-2.17,8165,1913712.74
2026-06-29,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,7.13,7.13,7.13,7.13,7.27,-1.93,47456,338361.29
2026-06-29,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,204.8,204.8,195.61,198.97,198.81,0.08,2172,432162.84
2026-06-29,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,163.0,167.9,158.0,160.81,160.68,0.08,147160,23664799.24
2026-06-29,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,31.21,32.0,31.2,31.41,31.64,-0.73,38326,1203819.65
2026-06-29,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,46.0,46.48,44.46,44.71,45.22,-1.13,11093,495968.02
2026-06-29,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,11.16,11.34,10.91,11.1,11.16,-0.54,32852,364657.21
