date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-07-24,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,20.0,20.23,19.41,19.74,20.43,-3.38,1355100,26749673.69
2026-07-24,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,28.13,29.18,28.11,28.32,28.7,-1.32,34548,978399.35
2026-07-24,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,47.93,48.16,47.0,47.93,47.93,0.0,6632,317871.76
2026-07-24,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,387.0,387.0,374.3,381.6,385.8,-1.09,6247,2383855.24
2026-07-24,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,15.24,15.24,14.51,14.93,14.86,0.47,24820,370562.61
2026-07-24,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,9.99,10.95,9.78,10.32,10.01,3.1,680928,7027176.75
2026-07-24,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,42.0,42.0,40.69,41.02,42.07,-2.5,794,32569.88
2026-07-24,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,4.83,5.1,4.83,5.03,5.02,0.2,154070,774972.13
2026-07-24,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,565.0,575.0,565.0,574.95,573.5,0.25,490,281725.51
2026-07-24,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.46,4.46,4.23,4.26,4.44,-4.05,112055,477354.33
2026-07-24,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,241.99,241.99,224.2,236.58,233.13,1.48,1870,442404.6
2026-07-24,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,5.77,5.77,5.77,5.77,5.88,-1.87,34533,199255.41
2026-07-24,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,206.9,206.9,196.98,204.65,200.77,1.93,4649,951417.82
2026-07-24,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,163.0,166.0,163.0,163.0,166.0,-1.81,21187,3453481.0
2026-07-24,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,33.0,33.0,31.6,32.39,32.66,-0.83,32650,1057533.48
2026-07-24,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,49.2,51.9,46.51,49.68,48.88,1.64,28455,1413644.41
2026-07-24,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,10.22,10.28,10.0,10.14,10.22,-0.78,23410,237377.41
2026-07-24,APTECHT,BE,INE266F01018,APTECH LIMITED,87.25,92.0,87.25,91.35,90.9,0.5,77392,7069759.08
2026-07-24,ARIES,BE,INE298I01015,ARIES AGRO LTD.,340.0,348.15,331.35,341.05,339.65,0.41,15771,5378699.36
2026-07-24,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,322.0,336.0,317.0,332.95,318.9,4.41,63845,21257193.53
2026-07-24,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,7.01,7.13,7.0,7.0,7.05,-0.71,103572,725004.0
2026-07-24,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,201.05,205.89,197.0,203.64,204.17,-0.26,10620,2162656.79
2026-07-24,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,238.15,238.15,238.15,238.15,243.01,-2.0,5460,1300298.97
2026-07-24,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,27.94,27.94,25.77,26.66,27.01,-1.3,61788,1647268.07
2026-07-24,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,294.9,297.0,285.5,291.1,293.2,-0.72,15249,4438983.99
2026-07-24,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,236.9,236.9,227.9,228.98,228.12,0.38,190578,43638549.63
2026-07-24,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,119.0,123.9,117.15,121.41,119.0,2.03,6337,769375.19
2026-07-24,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,4.17,4.17,3.8,3.99,4.0,-0.25,6835,27271.65
2026-07-24,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,450.0,468.0,450.0,464.6,461.85,0.6,125365,58244579.77
2026-07-24,BTTL,BE,INE274K01012,BHILWARA TECHNICAL TEXT L,48.2,50.3,47.51,49.87,48.38,3.08,3911,195041.57
2026-07-24,BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED,33.0,33.0,33.0,33.0,33.0,0.0,0,0.0
2026-07-24,BYKE,BE,INE319B01014,THE BYKE HOSPITALITY LTD,32.11,32.64,32.01,32.44,32.16,0.87,6056,196456.63
