date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2025-12-29,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,16.96,16.96,16.42,16.67,16.75,-0.48,457505,7626608.38
2025-12-29,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,49.14,49.26,47.01,47.84,49.14,-2.65,81643,3905801.13
2025-12-29,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,392.4,397.0,390.0,391.2,392.4,-0.31,5346,2091355.27
2025-12-29,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,20.18,20.18,20.18,20.18,21.24,-4.99,87781,1771420.61
2025-12-29,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,18.1,18.45,17.55,17.88,17.83,0.28,1249621,22343222.43
2025-12-29,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,43.0,43.0,42.8,42.9,42.79,0.26,71,3045.9
2025-12-29,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.82,5.95,5.7,5.77,5.81,-0.69,62372,359886.44
2025-12-29,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,144.15,144.15,144.15,144.15,144.15,0.0,0,0.0
2025-12-29,AKI,BE,INE642Z01026,AKI INDIA LIMITED,6.95,7.1,6.88,6.89,6.95,-0.86,57948,399261.71
2025-12-29,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,246.3,246.3,241.45,242.5,246.3,-1.54,1967,476997.5
2025-12-29,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,6.49,6.61,6.3,6.4,6.53,-1.99,173410,1109824.02
2025-12-29,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,229.22,232.97,222.0,223.86,229.22,-2.34,3604,806791.44
2025-12-29,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,106.38,109.0,103.8,106.7,106.78,-0.07,65102,6946383.2
2025-12-29,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,48.01,48.89,47.3,47.61,48.5,-1.84,12608,600266.89
2025-12-29,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,13.87,14.0,13.8,13.96,13.87,0.65,21584,301312.64
2025-12-29,APTECHT,BE,INE266F01018,APTECH LIMITED,94.8,95.18,92.7,92.89,94.8,-2.01,197363,18333048.95
2025-12-29,ARIES,BE,INE298I01015,ARIES AGRO LTD.,316.05,325.8,316.05,322.25,320.7,0.48,24673,7950874.25
2025-12-29,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,270.7,272.45,261.2,264.1,270.7,-2.44,11867,3134074.77
2025-12-29,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,12.22,12.69,11.87,12.04,12.23,-1.55,1091201,13138060.0
