date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2025-12-03,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,16.77,16.9,16.53,16.68,16.77,-0.54,285364,4759871.61
2025-12-03,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,50.35,50.35,49.22,49.82,49.41,0.83,9574,476976.68
2025-12-03,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,424.75,425.45,411.0,413.75,421.3,-1.79,7180,2970725.0
2025-12-03,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,33.76,34.0,33.08,33.9,33.6,0.89,35365,1198873.55
2025-12-03,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,19.04,19.24,18.51,18.72,19.04,-1.68,59781,1119100.28
2025-12-03,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,43.11,43.11,43.11,43.11,43.11,0.0,63,2715.93
2025-12-03,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,6.02,6.02,5.2,5.63,5.92,-4.9,313721,1766249.27
2025-12-03,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,144.15,144.15,144.15,144.15,144.15,0.0,0,0.0
2025-12-03,AKI,BE,INE642Z01026,AKI INDIA LIMITED,7.9,8.0,7.28,7.32,7.67,-4.56,60215,440773.81
2025-12-03,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,250.95,257.35,249.8,250.65,255.2,-1.78,3301,827395.63
2025-12-03,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,6.64,6.64,6.35,6.38,6.55,-2.6,269470,1719218.63
2025-12-03,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,228.1,247.7,228.1,231.57,229.4,0.95,3617,837588.72
2025-12-03,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,107.81,107.99,102.64,103.45,108.0,-4.21,90222,9333465.62
2025-12-03,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,53.95,54.21,52.11,52.58,53.34,-1.42,9761,513233.4
2025-12-03,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,14.0,14.24,13.99,14.16,14.13,0.21,17001,240734.16
2025-12-03,APTECHT,BE,INE266F01018,APTECH LIMITED,102.95,102.95,100.99,101.39,102.17,-0.76,71394,7238637.62
2025-12-03,ARIES,BE,INE298I01015,ARIES AGRO LTD.,338.4,347.0,332.2,333.9,333.4,0.15,26185,8743171.34
2025-12-03,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,262.05,262.05,255.6,256.85,257.55,-0.27,2202,565583.71
2025-12-03,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,11.75,11.96,11.52,11.71,11.61,0.86,123846,1450236.66
2025-12-03,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,181.0,191.0,179.28,188.12,181.67,3.55,53134,9995567.82
2025-12-03,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,148.16,148.16,148.16,148.16,151.19,-2.0,1204,178384.64
2025-12-03,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,31.15,31.15,30.01,30.03,30.84,-2.63,195855,5881525.78
2025-12-03,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,418.0,423.65,411.0,416.0,416.5,-0.12,47721,19851936.0
2025-12-03,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,181.05,184.0,179.2,182.16,181.24,0.51,53415,9730076.6
2025-12-03,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,108.47,109.5,106.25,106.55,108.46,-1.76,17204,1833086.25
2025-12-03,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,7.11,7.11,7.11,7.11,7.49,-5.07,12482,88747.02
2025-12-03,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,154.36,156.3,151.01,154.96,153.95,0.66,387920,60112085.8
2025-12-03,BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED,33.0,33.0,33.0,33.0,33.0,0.0,0,0.0
2025-12-03,BYKE,BE,INE319B01014,THE BYKE HOSPITALITY LTD,54.34,55.7,52.2,53.1,54.06,-1.78,49254,2615387.32
2025-12-03,CALSOFT,BE,INE526B01014,CALIFORNIA SOFTWARE CO LT,16.95,17.55,16.06,16.28,16.71,-2.57,48329,786796.15
2025-12-03,CAPTRUST,BE,INE707C01018,CAPITAL TRUST LIMITED,11.75,12.31,11.67,11.67,12.29,-5.04,214674,2505245.6
2025-12-03,CHEMBONDCH,BE,INE0TGX01019,CHEMBOND CHEMICAL LIMITED,147.85,153.0,147.85,151.19,147.75,2.33,11477,1735207.66
2025-12-03,CHEMCON,BE,INE03YM01018,CHEMCON SPECIAL CHEM LTD,213.0,215.51,210.0,210.26,213.38,-1.46,42085,8848791.87
2025-12-03,CONSOFINVT,BE,INE025A01027,CONSO. FIN. & HOLD. LTD.,166.34,167.89,160.2,160.88,165.4,-2.73,5013,806491.46
2025-12-03,COUNCODOS,BE,INE695B01025,COUNTRY CONDO S LIMITED,6.06,6.25,6.06,6.19,6.09,1.64,20330,125842.7
2025-12-03,CTE,BE,INE627H01017,CAMBRIDGE TECH ENTER LTD,44.01,45.35,42.17,42.17,44.39,-5.0,26247,1106835.94
2025-12-03,CURAA,BE,INE117B01020,CURA TECHNOLOGIES LIMITED,124.77,137.34,124.77,134.5,131.34,2.41,1415,190317.5
2025-12-03,CYBERMEDIA,BE,INE278G01037,CYBER MEDIA (INDIA) LTD.,16.41,16.74,15.76,16.4,16.56,-0.97,1748,28667.2
2025-12-03,CYBERTECH,BE,INE214A01019,CYBERTECH SYSTEMS & SOFTW,147.08,148.69,143.3,143.71,147.08,-2.29,28749,4131518.98
2025-12-03,DAMODARIND,BE,INE497D01022,DAMODAR INDUSTRIES LTD,32.94,32.94,30.75,31.62,31.94,-1.0,19475,615799.52
2025-12-03,DBSTOCKBRO,BE,INE921B01025,DB (INT) STOCK BROKERS,25.3,25.38,24.66,25.02,25.3,-1.11,6528,163330.56
2025-12-03,DELPHIFX,BE,INE726L01027,DELPHI WORLD MONEY LTD,16.67,16.87,16.2,16.45,16.4,0.3,1705125,28056127.56
2025-12-03,DIACABS,BE,INE989C01038,DIAMOND POWER INFRA LTD,146.0,147.02,143.16,144.2,146.65,-1.67,653369,94215807.81
2025-12-03,DIGJAMLMTD,BE,INE731U01028,DIGJAM LTD,40.01,40.01,40.01,40.01,40.01,0.0,0,0.0
2025-12-03,DPSCLTD,BE,INE360C01024,DPSC LIMITED,10.63,10.8,10.55,10.55,10.63,-0.75,60760,641018.01
2025-12-03,DPWIRES,BE,INE864X01013,D P WIRES LIMITED,202.01,205.96,201.5,203.44,206.02,-1.25,7099,1444220.58
2025-12-03,DSKULKARNI,BE,INE891A01022,DS KULKARNI DEVELOPERS L,13.55,13.55,13.55,13.55,13.55,0.0,0,0.0
2025-12-03,DTIL,BE,INE341R01014,DHUNSERI TEA & IND. LTD.,161.0,162.99,158.78,161.88,160.21,1.04,2826,457472.89
2025-12-03,E2E,BE,INE255Z01027,E2E NETWORKS LIMITED,220.7,221.13,211.38,214.24,220.38,-2.79,1414440,303029633.37
