date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-05-27,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,17.41,17.66,16.9,17.3,17.35,-0.29,478339,8275264.34
2026-05-27,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,24.3,24.6,23.22,24.44,23.94,2.09,24179,590934.77
2026-05-27,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,45.87,45.99,43.05,43.67,44.81,-2.54,63217,2760686.27
2026-05-27,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,394.0,396.9,383.55,390.6,390.45,0.04,5934,2317820.44
2026-05-27,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,17.0,17.0,17.0,17.0,17.0,0.0,0,0.0
2026-05-27,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,12.7,12.98,11.77,11.88,12.55,-5.34,1434468,17041480.0
2026-05-27,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,46.0,46.6,44.54,45.61,46.0,-0.85,54,2462.94
2026-05-27,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.8,5.93,5.61,5.63,5.86,-3.92,158886,894528.2
2026-05-27,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,604.25,626.05,604.25,604.25,636.05,-5.0,7360,4447280.0
2026-05-27,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.97,4.97,4.81,4.85,4.89,-0.82,96381,467447.84
2026-05-27,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,198.0,203.87,197.9,199.76,200.0,-0.12,1363,272272.87
2026-05-27,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,5.99,5.99,5.99,5.99,5.88,1.87,27089,162263.1
2026-05-27,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,231.0,232.0,222.0,225.96,229.34,-1.47,6554,1480941.88
2026-05-27,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,134.78,134.78,131.2,131.8,133.25,-1.09,60656,7994460.99
2026-05-27,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,32.5,35.7,32.5,34.52,32.48,6.28,283380,9782277.73
2026-05-27,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,46.7,46.7,44.5,45.57,45.93,-0.78,12472,568349.04
2026-05-27,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,11.5,11.65,11.17,11.56,11.44,1.05,31862,368324.73
2026-05-27,APTECHT,BE,INE266F01018,APTECH LIMITED,109.0,111.79,107.0,107.76,111.51,-3.36,620003,66811524.6
2026-05-27,ARIES,BE,INE298I01015,ARIES AGRO LTD.,355.0,368.0,351.0,363.75,355.05,2.45,49066,17847757.5
2026-05-27,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,256.0,268.35,248.01,252.66,254.69,-0.8,37153,9387077.12
2026-05-27,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,7.41,7.65,7.38,7.6,7.42,2.43,531216,4037241.55
2026-05-27,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,155.0,162.02,152.28,158.86,154.23,3.0,28684,4556740.26
2026-05-27,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,130.16,136.66,125.0,129.9,130.16,-0.2,3645,473485.48
2026-05-27,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,25.94,26.98,24.76,26.82,25.33,5.88,472594,12674970.94
2026-05-27,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,330.2,330.2,325.1,330.2,314.5,4.99,114572,37831675.8
2026-05-27,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,158.4,159.5,156.0,158.06,156.27,1.15,15547,2457358.78
2026-05-27,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,118.55,121.8,117.25,120.09,118.55,1.3,105631,12685226.4
2026-05-27,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,4.62,4.62,4.62,4.62,4.62,0.0,0,0.0
2026-05-27,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,385.0,399.6,375.0,396.85,381.05,4.15,9275397,3680941356.06
2026-05-27,BTTL,BE,INE274K01012,BHILWARA TECHNICAL TEXT L,33.75,34.69,30.0,34.42,33.55,2.59,12335,424570.68
2026-05-27,BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED,33.0,33.0,33.0,33.0,33.0,0.0,0,0.0
2026-05-27,BYKE,BE,INE319B01014,THE BYKE HOSPITALITY LTD,37.3,37.3,35.8,36.1,36.48,-1.04,37461,1352342.04
2026-05-27,CALSOFT,BE,INE526B01014,CALIFORNIA SOFTWARE CO LT,19.84,19.98,19.01,19.12,19.84,-3.63,237796,4546659.72
2026-05-27,CAPTRUST,BE,INE707C01018,CAPITAL TRUST LIMITED,13.57,14.56,13.57,14.56,13.87,4.97,32876,478674.57
2026-05-27,CHEMBONDCH,BE,INE0TGX01019,CHEMBOND CHEMICAL LIMITED,201.5,201.5,192.39,193.41,202.51,-4.49,7965,1540510.68
2026-05-27,CHEMCON,BE,INE03YM01018,CHEMCON SPECIAL CHEM LTD,198.0,199.45,192.45,193.18,202.92,-4.8,126135,24366758.38
2026-05-27,CONSOFINVT,BE,INE025A01027,CONSO. FIN. & HOLD. LTD.,238.66,242.9,227.22,231.88,234.29,-1.03,4735,1097951.82
2026-05-27,COUNCODOS,BE,INE695B01025,COUNTRY CONDO S LIMITED,4.95,4.99,4.71,4.85,4.85,0.0,17830,86475.5
2026-05-27,CTE,BE,INE627H01017,CAMBRIDGE TECH ENTER LTD,31.65,31.7,31.01,31.08,32.07,-3.09,7871,244630.68
2026-05-27,CURAA,BE,INE117B01020,CURA TECHNOLOGIES LIMITED,85.25,89.54,85.1,89.5,89.57,-0.08,1296,115992.0
2026-05-27,CYBERMEDIA,BE,INE278G01037,CYBER MEDIA (INDIA) LTD.,17.9,17.9,17.2,17.55,17.85,-1.68,3433,60249.15
2026-05-27,CYBERTECH,BE,INE214A01019,CYBERTECH SYSTEMS & SOFTW,147.0,159.5,147.0,151.22,147.62,2.44,319779,48356980.77
2026-05-27,DAMODARIND,BE,INE497D01022,DAMODAR INDUSTRIES LTD,30.62,32.0,30.21,31.66,30.6,3.46,16144,511119.04
2026-05-27,DBSTOCKBRO,BE,INE921B01025,DB (INT) STOCK BROKERS,32.64,33.21,30.8,31.03,32.64,-4.93,17663,548082.9
2026-05-27,DELPHIFX,BE,INE726L01027,DELPHI WORLD MONEY LTD,10.87,10.87,10.25,10.36,10.67,-2.91,176592,1829493.06
2026-05-27,DIACABS,BE,INE989C01038,DIAMOND POWER INFRA LTD,208.7,211.2,196.18,198.2,206.65,-4.09,18541687,3674962306.82
2026-05-27,DIGJAMLMTD,BE,INE731U01028,DIGJAM LTD,45.0,47.2,45.0,46.28,45.63,1.42,6070,280919.59
2026-05-27,DPSCLTD,BE,INE360C01024,DPSC LIMITED,8.68,8.68,8.3,8.47,8.51,-0.47,136856,1159170.36
2026-05-27,DPWIRES,BE,INE864X01013,D P WIRES LIMITED,193.7,193.7,181.0,183.85,191.31,-3.9,42620,7835687.26
2026-05-27,DSFCL,BE,INE0OFM01015,DCM SHRIRAM FINE CHEM LTD,26.6,26.6,25.22,25.83,25.34,1.93,19599,506242.17
2026-05-27,DSKULKARNI,BE,INE891A01022,DS KULKARNI DEVELOPERS L,13.55,13.55,13.55,13.55,13.55,0.0,0,0.0
2026-05-27,DTIL,BE,INE341R01014,DHUNSERI TEA & IND. LTD.,135.98,139.5,135.57,136.99,135.98,0.74,1697,232472.04
2026-05-27,E2E,BE,INE255Z01027,E2E NETWORKS LIMITED,392.5,406.0,391.1,395.14,388.47,1.72,2229730,881055544.86
2026-05-27,EASTSILK,BE,INE962C01035,EASTERN SILK INDUSTRIES L,56.88,56.88,55.35,55.35,57.9,-4.4,435,24077.25
2026-05-27,EIFFL,BE,INE546V01010,EURO (I) FRESH FOODS LTD,235.0,242.1,235.0,235.3,236.86,-0.66,17681,4160339.35
2026-05-27,EMAMIPAP,BE,INE830C01026,EMAMI PAPER MILLS LIMITED,78.7,80.5,78.31,79.82,78.72,1.4,50739,4049986.96
2026-05-27,EMMBI,BE,INE753K01015,EMMBI INDUSTRIES LIMITED,84.5,86.5,82.5,84.21,84.43,-0.26,15044,1266855.23
2026-05-27,EQUIPPP,BE,INE217G01035,EQUIPPP SOC IMP TECH LTD,16.45,16.77,16.45,16.77,15.98,4.94,1961,32885.97
2026-05-27,ESAFSFB,BE,INE818W01011,ESAF SMALL FINANCE BANK L,28.98,29.34,28.72,28.89,28.98,-0.31,358836,10366771.82
2026-05-27,EUROTEXIND,BE,INE022C01012,EUROTEX IND & EXPORTS LTD,15.51,15.65,15.5,15.5,15.55,-0.32,1531,23730.5
2026-05-27,EVERESTIND,BE,INE295A01018,EVEREST INDUSTRIES LTD,390.05,394.95,386.0,391.15,399.9,-2.19,15562,6087076.21
2026-05-27,FAIRCHEMOR,BE,INE0DNW01011,FAIRCHEM ORGANICS LIMITED,619.05,621.25,611.0,617.15,619.6,-0.4,15413,9512133.33
2026-05-27,FLEXITUFF,BE,INE060J01017,FLEXITUFF VENTURES INT L,6.86,6.99,6.67,6.83,6.66,2.55,2897,19786.51
2026-05-27,FOCUS,BE,INE593W01028,FOCUS LIGHTG & FIXTRS LTD,81.7,82.98,79.2,79.6,82.61,-3.64,108451,8632699.43
